## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/dmpachon/jorge/TATIANA/snp_calling/snp_calling_pixy//results/alignment/551.sorted.bam --OUTPUT /home/dmpachon/jorge/TATIANA/snp_calling/snp_calling_pixy/results/markdup/551.markdup.bam --METRICS_FILE /home/dmpachon/jorge/TATIANA/snp_calling/snp_calling_pixy/results/metrics/551_duplicate_metrics.txt --TMP_DIR /home/dmpachon/jorge/TATIANA/snp_calling/snp_calling_pixy/tmp/551 --VALIDATION_STRINGENCY SILENT --COMPRESSION_LEVEL 9 --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Jan 29 08:18:47 GMT-03:00 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	598249	70519424	2629408	59705049	334592	1509676	0	0.02368	1623447240

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	67757814	67757814
2.0	1.957492	1095315	1095315
3.0	2.874282	104288	104288
4.0	3.752102	29678	29678
5.0	4.592607	11462	11462
6.0	5.397384	5157	5157
7.0	6.167951	2678	2678
8.0	6.905763	1357	1357
9.0	7.612212	774	774
10.0	8.28863	466	466
11.0	8.936296	228	228
12.0	9.556431	186	186
13.0	10.150204	124	124
14.0	10.718738	70	70
15.0	11.263104	43	43
16.0	11.78433	37	37
17.0	12.2834	17	17
18.0	12.761256	18	18
19.0	13.218798	10	10
20.0	13.656891	14	14
21.0	14.076362	2	2
22.0	14.478002	4	4
23.0	14.862569	3	3
24.0	15.230788	2	2
25.0	15.583356	1	1
26.0	15.920936	0	0
27.0	16.244166	0	0
28.0	16.553657	0	0
29.0	16.849991	0	0
30.0	17.133729	0	0
31.0	17.405406	0	0
32.0	17.665534	0	0
33.0	17.914605	0	0
34.0	18.153088	0	0
35.0	18.381434	0	0
36.0	18.600073	0	0
37.0	18.809418	0	0
38.0	19.009865	0	0
39.0	19.20179	0	0
40.0	19.385558	0	0
41.0	19.561513	0	0
42.0	19.729989	0	0
43.0	19.891304	0	0
44.0	20.045761	0	0
45.0	20.193653	0	0
46.0	20.335258	0	0
47.0	20.470844	0	0
48.0	20.600666	0	0
49.0	20.72497	0	0
50.0	20.843989	0	0
51.0	20.95795	0	0
52.0	21.067066	0	0
53.0	21.171544	0	0
54.0	21.271581	0	0
55.0	21.367365	0	0
56.0	21.459078	0	0
57.0	21.546892	0	0
58.0	21.630973	0	0
59.0	21.71148	0	0
60.0	21.788565	0	0
61.0	21.862374	0	0
62.0	21.933045	0	0
63.0	22.000711	0	0
64.0	22.065502	0	0
65.0	22.127538	0	0
66.0	22.186937	0	0
67.0	22.243811	0	0
68.0	22.298268	0	0
69.0	22.35041	0	0
70.0	22.400335	0	0
71.0	22.448138	0	0
72.0	22.493909	0	0
73.0	22.537734	0	0
74.0	22.579697	0	0
75.0	22.619876	0	0
76.0	22.658346	0	0
77.0	22.695182	0	0
78.0	22.730452	0	0
79.0	22.764222	0	0
80.0	22.796557	0	0
81.0	22.827517	0	0
82.0	22.857162	0	0
83.0	22.885546	0	0
84.0	22.912724	0	0
85.0	22.938746	0	0
86.0	22.963662	0	0
87.0	22.987519	0	0
88.0	23.010362	0	0
89.0	23.032234	0	0
90.0	23.053176	0	0
91.0	23.073228	0	0
92.0	23.092428	0	0
93.0	23.110811	0	0
94.0	23.128413	0	0
95.0	23.145267	0	0
96.0	23.161405	0	0
97.0	23.176856	0	0
98.0	23.191651	0	0
99.0	23.205816	0	0
100.0	23.21938	0	0

