Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
552_R1	(1, 0.0006662769235436441)	(2, 0.00040559410830375497)	(3, 0.00034888968927876396)	(4, 0.00023154304435204652)	(5, 0.00023154304435204652)	(6, 0.00017641374807774972)	(7, 0.00013467299518435359)	(8, 0.0001567247136940723)	(9, 0.00010159541741977552)	(10, 0.00010364307699567796)	(15, 5.0088903472075364e-05)	(20, 0.00010427312609595565)	(25, 0.00016286769242177966)	(30, 0.009235574736420336)	(35, 6.615515552915616e-05)	(40, 6.89903764804057e-05)	(45, 4.536353521999279e-05)	(50, 2.661957448673188e-05)	(55, 3.418016369006401e-05)	(60, 3.780294601666066e-05)	(65, 2.5674500836315364e-05)	(70, 2.59895253864542e-05)	(75, 4.914382982165885e-05)	(80, 3.4022651414994585e-05)	(85, 3.0242356813328524e-05)	(90, 5.182153849783898e-05)	(95, 4.3473387919159755e-05)	(100, 0.0001038005892707474)	(105, 0.0020515973827791877)	(110, 8.03312602854039e-05)	(115, 0.00010427312609595565)	(120, 0.003236719740401499)	(125, 0.00017657126035281915)	(130, 0.0002603677906897503)	(135, 0.0001371931915854643)	(140, 0.005645082426212922)	(145, 0.003012737285252785)	(150, 0.000975000982679706)
552_R2	(1, 1.575122750694194e-06)	(2, 1.1813420630206454e-05)	(3, 1.575122750694194e-06)	(4, 1.575122750694194e-06)	(5, 1.575122750694194e-06)	(6, 1.575122750694194e-06)	(7, 1.575122750694194e-06)	(8, 2.3626841260412912e-06)	(9, 6.300491002776776e-06)	(10, 1.575122750694194e-06)	(15, 4.725368252082582e-07)	(20, 1.4176104756247747e-06)	(25, 3.150245501388388e-07)	(30, 7.87561375347097e-07)	(35, 1.575122750694194e-07)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 3.150245501388388e-07)	(60, 1.575122750694194e-07)	(65, 3.150245501388388e-07)	(70, 4.725368252082582e-07)	(75, 1.575122750694194e-07)	(80, 0.0)	(85, 3.150245501388388e-07)	(90, 6.300491002776776e-07)	(95, 1.575122750694194e-07)	(100, 1.575122750694194e-06)	(105, 0.0068374503484884275)	(110, 1.575122750694194e-07)	(115, 0.0001760987235276109)	(120, 0.0026186415730290974)	(125, 0.004354899381119307)	(130, 1.1025859254859357e-06)	(135, 3.7802946016660655e-06)	(140, 2.2051718509718714e-06)	(145, 2.0004058933816262e-05)	(150, 2.3626841260412912e-06)
553_R1	(1, 0.0006253709231287808)	(2, 0.0003677554383772233)	(3, 0.000329486471439492)	(4, 0.0002566820953140518)	(5, 0.00024548142206398405)	(6, 0.00019787856075119628)	(7, 0.0001325413001258013)	(8, 0.00013440807900081257)	(9, 9.893928037559814e-05)	(10, 9.875260248809702e-05)	(15, 5.320319793782164e-05)	(20, 0.00010117941502561168)	(25, 0.00015270251197592317)	(30, 0.008944297623841574)	(35, 7.205766457543564e-05)	(40, 6.253709231287807e-05)	(45, 4.946964018779907e-05)	(50, 2.4268125375146712e-05)	(55, 2.7254971575164773e-05)	(60, 3.0241817775182834e-05)	(65, 2.930842833767719e-05)	(70, 2.6508260025160262e-05)	(75, 4.685614976278328e-05)	(80, 3.360201975020314e-05)	(85, 3.2295274537695246e-05)	(90, 4.946964018779907e-05)	(95, 3.976239003774039e-05)	(100, 9.483236685057332e-05)	(105, 0.0021288746290628706)	(110, 7.037756358792548e-05)	(115, 0.00010211280446311734)	(120, 0.002928042665455202)	(125, 0.0001769706373510699)	(130, 0.0002811368985766996)	(135, 0.00013907502618834078)	(140, 0.006011214655423841)	(145, 0.0032076861409318924)	(150, 0.0010108607608186114)
553_R2	(1, 9.333894375056428e-07)	(2, 6.5337260625394995e-06)	(3, 1.8667788750112856e-06)	(4, 1.8667788750112856e-06)	(5, 2.8001683125169287e-06)	(6, 1.8667788750112856e-06)	(7, 2.8001683125169287e-06)	(8, 3.7335577500225713e-06)	(9, 3.7335577500225713e-06)	(10, 2.0534567625124147e-06)	(15, 5.600336625033857e-07)	(20, 9.333894375056428e-07)	(25, 1.8667788750112858e-07)	(30, 9.333894375056428e-07)	(35, 1.8667788750112858e-07)	(40, 3.7335577500225716e-07)	(45, 1.8667788750112858e-07)	(50, 1.8667788750112858e-07)	(55, 1.8667788750112858e-07)	(60, 1.8667788750112858e-07)	(65, 1.8667788750112858e-07)	(70, 0.0)	(75, 1.8667788750112858e-07)	(80, 0.0)	(85, 0.0)	(90, 1.8667788750112858e-07)	(95, 0.0)	(100, 7.467115500045143e-07)	(105, 0.00658823600568983)	(110, 1.8667788750112858e-07)	(115, 0.00014579543013838142)	(120, 0.0024227056239896467)	(125, 0.003962238162211454)	(130, 7.467115500045143e-07)	(135, 7.467115500045143e-07)	(140, 0.0)	(145, 1.6614331987600443e-05)	(150, 9.333894375056428e-07)
554_R1	(1, 0.000626350618809345)	(2, 0.00038125689840568823)	(3, 0.00031008069172280817)	(4, 0.00022714493784884349)	(5, 0.00023023955553070784)	(6, 0.0001875338315209798)	(7, 0.00014173348982938734)	(8, 0.00014977949580223467)	(9, 0.00010583592471976085)	(10, 9.259096104138144e-05)	(15, 4.629548052069072e-05)	(20, 0.0001022461682087982)	(25, 0.00015844442531145485)	(30, 0.009091367825781094)	(35, 6.98145749028598e-05)	(40, 6.993835961013438e-05)	(45, 5.0380375860751664e-05)	(50, 2.809912855132832e-05)	(55, 2.9708329745897783e-05)	(60, 4.20868004733552e-05)	(65, 2.3395309674894504e-05)	(70, 2.4880726162189396e-05)	(75, 5.0627945275300805e-05)	(80, 3.069860740409438e-05)	(85, 3.1441315647741824e-05)	(90, 5.3227424128066866e-05)	(95, 4.369600166792466e-05)	(100, 0.00010199859879424907)	(105, 0.0020065501049208465)	(110, 7.080485256105639e-05)	(115, 0.00010063696701422875)	(120, 0.002904979510319705)	(125, 0.00017391751372077663)	(130, 0.0002527683722546803)	(135, 0.00012353713786002497)	(140, 0.0057793841979425905)	(145, 0.0030896662935733696)	(150, 0.0009834694992964911)
554_R2	(1, 6.189235363728705e-07)	(2, 1.237847072745741e-06)	(3, 6.189235363728705e-07)	(4, 6.189235363728705e-07)	(5, 2.475694145491482e-06)	(6, 0.0)	(7, 0.0)	(8, 6.189235363728705e-07)	(9, 1.8567706091186115e-06)	(10, 3.713541218237223e-07)	(15, 1.237847072745741e-07)	(20, 3.713541218237223e-07)	(25, 0.0)	(30, 7.427082436474446e-07)	(35, 0.0)	(40, 1.237847072745741e-07)	(45, 0.0)	(50, 2.475694145491482e-07)	(55, 2.475694145491482e-07)	(60, 3.713541218237223e-07)	(65, 2.475694145491482e-07)	(70, 3.713541218237223e-07)	(75, 2.475694145491482e-07)	(80, 2.475694145491482e-07)	(85, 2.475694145491482e-07)	(90, 3.713541218237223e-07)	(95, 1.237847072745741e-07)	(100, 4.951388290982964e-07)	(105, 0.006605523334293099)	(110, 0.0)	(115, 0.0001553498076295905)	(120, 0.0023915205445447715)	(125, 0.003927812546529511)	(130, 1.237847072745741e-07)	(135, 8.664929509220188e-07)	(140, 1.114062365471167e-06)	(145, 2.4756941454914822e-05)	(150, 6.189235363728705e-07)
555_R1	(1, 0.0006479209865905088)	(2, 0.0003883764404381424)	(3, 0.0003225499251096437)	(4, 0.00022381015211689562)	(5, 0.00021722750058404577)	(6, 0.0001720893186445038)	(7, 0.00014669909130351144)	(8, 0.00015986439436921116)	(9, 0.0001222492427529262)	(10, 9.949207602507377e-05)	(15, 5.661080318250889e-05)	(20, 9.930400026699236e-05)	(25, 0.00015215328828787275)	(30, 0.008961433721063733)	(35, 6.18769244087888e-05)	(40, 6.356960623152161e-05)	(45, 4.852354558500762e-05)	(50, 3.028019705110941e-05)	(55, 3.611054555163358e-05)	(60, 3.272518190616793e-05)	(65, 2.9339818260702283e-05)	(70, 2.482600006674809e-05)	(75, 5.303736377896182e-05)	(80, 3.4605939486982186e-05)	(85, 2.8399439470295157e-05)	(90, 5.529427287593892e-05)	(95, 4.137666677791348e-05)	(100, 0.00010833163665490076)	(105, 0.0021150999753837044)	(110, 7.01522577643715e-05)	(115, 9.96801517831552e-05)	(120, 0.0026582627647228595)	(125, 0.0001722773944025852)	(130, 0.0002461911673285852)	(135, 0.00013240533368932313)	(140, 0.006077668122401246)	(145, 0.0032317057511131245)	(150, 0.0009939803814603305)
555_R2	(1, 3.761515161628498e-06)	(2, 1.1284545484885493e-05)	(3, 1.880757580814249e-06)	(4, 9.403787904071245e-07)	(5, 4.701893952035623e-06)	(6, 2.8211363712213732e-06)	(7, 3.761515161628498e-06)	(8, 4.701893952035623e-06)	(9, 1.034416669447837e-05)	(10, 2.8211363712213732e-06)	(15, 5.642272742442746e-07)	(20, 7.523030323256996e-07)	(25, 1.880757580814249e-07)	(30, 7.523030323256996e-07)	(35, 3.761515161628498e-07)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 5.642272742442746e-07)	(60, 5.642272742442746e-07)	(65, 3.761515161628498e-07)	(70, 5.642272742442746e-07)	(75, 0.0)	(80, 1.880757580814249e-07)	(85, 1.880757580814249e-07)	(90, 0.0)	(95, 0.0)	(100, 1.5046060646513992e-06)	(105, 0.006469806078001017)	(110, 3.761515161628498e-07)	(115, 0.0001397402882544987)	(120, 0.002234340006007328)	(125, 0.003677069146249938)	(130, 0.0)	(135, 2.6330606131399485e-06)	(140, 2.8211363712213732e-06)	(145, 2.5578303099073788e-05)	(150, 2.8211363712213732e-06)
556_R1	(1, 0.0006170096241980053)	(2, 0.0003675396835500464)	(3, 0.0003313570204026325)	(4, 0.00025042211599394354)	(5, 0.00023042643372826743)	(6, 0.00019995682265676098)	(7, 0.00012854367170791778)	(8, 0.00012949584705390237)	(9, 8.950448252255016e-05)	(10, 9.50270995292607e-05)	(15, 4.551398153806274e-05)	(20, 0.00010664363875027253)	(25, 0.0001590132827794242)	(30, 0.00925076435637855)	(35, 6.608096901132958e-05)	(40, 6.493835859614809e-05)	(45, 5.2369644029151684e-05)	(50, 3.2564396832672505e-05)	(55, 3.465918259383857e-05)	(60, 4.113397494653369e-05)	(65, 3.104091627909718e-05)	(70, 2.7993955171946537e-05)	(75, 5.3702689513530096e-05)	(80, 3.275483190186942e-05)	(85, 2.9517435725521858e-05)	(90, 4.418093605368433e-05)	(95, 4.189571522332135e-05)	(100, 0.00011159495054939232)	(105, 0.00206622050078653)	(110, 7.522185233278152e-05)	(115, 0.00010035928146677432)	(120, 0.0027793998349289776)	(125, 0.00017101069213882987)	(130, 0.00027327432429757333)	(135, 0.00013082889253828077)	(140, 0.005746568648086114)	(145, 0.003070955925869455)	(150, 0.0009464622939086687)
556_R2	(1, 0.0)	(2, 6.665227421892033e-06)	(3, 2.856526037953728e-06)	(4, 2.856526037953728e-06)	(5, 1.9043506919691523e-06)	(6, 2.856526037953728e-06)	(7, 6.665227421892033e-06)	(8, 5.713052075907456e-06)	(9, 3.8087013839383047e-06)	(10, 3.8087013839383047e-06)	(15, 7.617402767876608e-07)	(20, 9.521753459845762e-07)	(25, 3.808701383938304e-07)	(30, 1.904350691969152e-07)	(35, 3.808701383938304e-07)	(40, 1.904350691969152e-07)	(45, 5.713052075907457e-07)	(50, 5.713052075907457e-07)	(55, 0.0)	(60, 1.904350691969152e-07)	(65, 1.904350691969152e-07)	(70, 1.904350691969152e-07)	(75, 0.0)	(80, 0.0)	(85, 9.521753459845762e-07)	(90, 7.617402767876608e-07)	(95, 1.904350691969152e-07)	(100, 1.5234805535753217e-06)	(105, 0.006665417856961229)	(110, 1.904350691969152e-07)	(115, 0.000157299367156652)	(120, 0.0023345435132849836)	(125, 0.003834219683210691)	(130, 3.808701383938304e-07)	(135, 3.8087013839383047e-06)	(140, 3.4278312455444742e-06)	(145, 2.2852208303629825e-05)	(150, 5.713052075907456e-06)
