Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
553_R2 - polya	(1, 0.0020329221948872903)	(2, 0.003191258486831793)	(3, 0.004156383165212628)	(4, 0.005017901616030336)	(5, 0.005793548238597525)	(6, 0.00649732387447678)	(7, 0.007129228523668101)	(8, 0.007781667740484545)	(9, 0.008445307630551057)	(10, 0.00942163298218196)	(12, 0.0106359726403768)	(14, 0.011857779414071689)	(16, 0.012961045729203358)	(18, 0.014068512296803802)	(20, 0.015176912253841754)	(22, 0.01627971187425467)	(24, 0.017410513177792755)	(26, 0.01853571414470581)	(28, 0.01970711788877539)	(30, 0.020899056200470098)	(32, 0.022072793418133445)	(34, 0.02327266554004695)	(36, 0.024445002673554036)	(38, 0.025684077151842774)	(40, 0.026975888133350584)	(42, 0.02821682939051434)	(44, 0.029436302690615458)	(46, 0.03066044293790411)	(48, 0.031939653162005595)	(50, 0.033246865069232245)	(52, 0.034568077818021486)	(54, 0.03586735591502934)	(56, 0.03717223434866223)	(58, 0.03848644667667017)	(60, 0.03976239003774039)	(62, 0.041117671500998584)	(64, 0.04248368694278809)	(66, 0.04379556579720227)	(68, 0.04514244675552291)	(70, 0.04655186480615643)	(72, 0.047903879406383354)	(74, 0.0493328986352045)	(76, 0.050754450748525595)	(78, 0.052238539954159564)	(80, 0.053676426382637005)	(82, 0.05506811003395792)	(84, 0.05649432909446654)	(86, 0.057977951605381765)	(88, 0.05944383971698437)	(90, 0.0609125279968995)	(92, 0.062415751686002344)	(94, 0.0639385765532928)	(96, 0.06548520285123965)	(98, 0.06703229584390524)	(100, 0.06854578681682066)	(102, 0.07011248098767388)	(104, 0.07165957398033948)	(106, 0.07330700633753694)	(108, 0.07490636913870286)	(110, 0.07653373362299394)	(112, 0.07819843368478527)	(114, 0.07984353256838896)	(116, 0.08147743077874259)	(118, 0.08306559290665844)	(120, 0.0847820960822313)	(122, 0.08651073332049176)	(124, 0.0882207027700021)	(126, 0.08991853815682486)	(128, 0.09162664082746019)	(130, 0.09339261364322086)	(132, 0.09518052111076293)	(134, 0.09694602723180484)	(136, 0.09876240307719084)	(138, 0.10055171062888915)
554_R1 - polya	(1, 0.005258993288560281)	(2, 0.012083863124143925)	(3, 0.016475744538245813)	(4, 0.020380533129222254)	(5, 0.02351042945265986)	(6, 0.026486832739076996)	(7, 0.02864006772211821)	(8, 0.03109719416151851)	(9, 0.0334311548171806)	(10, 0.037091159149521574)	(12, 0.04104669947048059)	(14, 0.045025449424053586)	(16, 0.04876931789557308)	(18, 0.052402708515850015)	(20, 0.055945736299816515)	(22, 0.05937550107662677)	(24, 0.0628857259131655)	(26, 0.06650611913917862)	(28, 0.0699262906011751)	(30, 0.0734030935667497)	(32, 0.07686689913806047)	(34, 0.08028923683243425)	(36, 0.08369145951187593)	(38, 0.08716640570684141)	(40, 0.09059740833072441)	(42, 0.09406028551673062)	(44, 0.09743434717526733)	(46, 0.10075394356260323)	(48, 0.10415276216259484)	(50, 0.10765432206962436)	(52, 0.11107201783747535)	(54, 0.11442194147809351)	(56, 0.11778114897175726)	(58, 0.12126909256098659)	(60, 0.12486101530432653)	(62, 0.12831460863728714)	(64, 0.13181802531492579)	(66, 0.1352901863539776)	(68, 0.13877967725204782)	(70, 0.14224936259695414)	(72, 0.1457274034096015)	(74, 0.14916181011293456)	(76, 0.1526305670725363)	(78, 0.1562556022250722)	(80, 0.1596999117049872)	(82, 0.1631296764817975)	(84, 0.16666280148918203)	(86, 0.1701374382223793)	(88, 0.1737507138277241)	(90, 0.17757782751488577)	(92, 0.18108898073672908)	(94, 0.18460941781161797)	(96, 0.18814068604839335)	(98, 0.19164069864658195)	(100, 0.19528646773758634)	(102, 0.19890902719597675)	(104, 0.20242729803848836)	(106, 0.20621263438694482)	(108, 0.2099252472198775)	(110, 0.21339152848533377)	(112, 0.21700944601720135)	(114, 0.22070596683818833)	(116, 0.22434709400266994)	(118, 0.2279380883607053)	(120, 0.23176148850664874)	(122, 0.2354852419632361)	(124, 0.2391081108833947)	(126, 0.24282258048693647)	(128, 0.2464745388133046)	(130, 0.25017570156081437)	(132, 0.25396351360341635)	(134, 0.2578317857057468)	(136, 0.26172512421130034)	(138, 0.2653987448614415)
554_R2 - polya	(1, 0.005767748435458781)	(2, 0.012105525447916975)	(3, 0.016219510194187447)	(4, 0.019811123475759213)	(5, 0.02276834013254879)	(6, 0.02551140924575335)	(7, 0.0275315756684744)	(8, 0.029829638759026868)	(9, 0.03197358988902249)	(10, 0.035393761351018974)	(12, 0.03906645361585559)	(14, 0.04280568016085229)	(16, 0.04650312936714381)	(18, 0.05008391148682906)	(20, 0.053538123743326047)	(22, 0.05687071752492577)	(24, 0.06028686598393583)	(26, 0.06391870929537183)	(28, 0.06736425662235959)	(30, 0.0708596272940254)	(32, 0.07437604136592785)	(34, 0.07788038642887105)	(36, 0.08128663211129913)	(38, 0.084835230207093)	(40, 0.08850451839247955)	(42, 0.09209303705636945)	(44, 0.095639468919786)	(46, 0.09919982656277095)	(48, 0.10278865468842904)	(50, 0.10657708565456737)	(52, 0.11034478268223723)	(54, 0.11400819109402824)	(56, 0.11761806261992301)	(58, 0.12141082605081596)	(60, 0.1252948807033239)	(62, 0.12914210940541765)	(64, 0.1329218754420468)	(66, 0.13674682289683113)	(68, 0.14053030247467851)	(70, 0.14448305763972383)	(72, 0.1483479256626042)	(74, 0.15225364263888524)	(76, 0.15626643338695873)	(78, 0.16053638686439514)	(80, 0.16462685251628345)	(82, 0.16865542581453447)	(84, 0.1727613645548321)	(86, 0.1768812290746981)	(88, 0.1811907936584624)	(90, 0.18577454136883986)	(92, 0.19002345144603966)	(94, 0.19431228209133544)	(96, 0.19857573687163999)	(98, 0.20288777714954975)	(100, 0.20738889856782144)	(102, 0.21189032944786135)	(104, 0.2163536965304143)	(106, 0.22094053885847365)	(108, 0.225608769631566)	(110, 0.23013898045604725)	(112, 0.2348072112291396)	(114, 0.23958684823877913)	(116, 0.24431759028904515)	(118, 0.24905390265113853)	(120, 0.2539112145645928)	(122, 0.2588468203053983)	(124, 0.2637001092158662)	(126, 0.2686805869130586)	(128, 0.27353851775004934)	(130, 0.2785660336360061)	(132, 0.28368143666412793)	(134, 0.2888596604311915)	(136, 0.2942266558768489)	(138, 0.2995085493362549)
555_R1 - polya	(1, 0.002516453643129465)	(2, 0.005583969257437506)	(3, 0.0075371360051131025)	(4, 0.009217592903570633)	(5, 0.010564215331433636)	(6, 0.011833726698483255)	(7, 0.012779747761632822)	(8, 0.013891275491894043)	(9, 0.014953903525054093)	(10, 0.016689842772145646)	(12, 0.01857812338328315)	(14, 0.02049602592631848)	(16, 0.02243320623455716)	(18, 0.024336062716945973)	(20, 0.02608563745649843)	(22, 0.027736002233662932)	(24, 0.02943009462458137)	(26, 0.031229039250630197)	(28, 0.03290808558090212)	(30, 0.03461957497944308)	(32, 0.036341878734073726)	(34, 0.03803362017801615)	(36, 0.03964966112933079)	(38, 0.04135738901271013)	(40, 0.043060415002137434)	(42, 0.04473617000664293)	(44, 0.04640722311719639)	(46, 0.04805899846254651)	(48, 0.04975591198983616)	(50, 0.05146222930502989)	(52, 0.053150209233810676)	(54, 0.054848533329285944)	(56, 0.05649513659128882)	(58, 0.05820145390648254)	(60, 0.05992892974446043)	(62, 0.06160750588533715)	(64, 0.06325928123068726)	(66, 0.06493315547761194)	(68, 0.06659386442147093)	(70, 0.0683189893124728)	(72, 0.07005539874895955)	(74, 0.07171892882918976)	(76, 0.07336694265937824)	(78, 0.0751183981565115)	(80, 0.07680026562315465)	(82, 0.0784699081655225)	(84, 0.0801447227912376)	(86, 0.08182000760634789)	(88, 0.08356770158831953)	(90, 0.08536852697194916)	(92, 0.08704005027189783)	(94, 0.08879432690540232)	(96, 0.09051004800850013)	(98, 0.09222106721764589)	(100, 0.09399885332091056)	(102, 0.09574889824985822)	(104, 0.09752809492130848)	(106, 0.0992715571987233)	(108, 0.1010004436048868)	(110, 0.10265268913963212)	(112, 0.1044323560004776)	(114, 0.10618381149761086)	(116, 0.10796582930543237)	(118, 0.10970741082526636)	(120, 0.11150447469373437)	(122, 0.11326721473635254)	(124, 0.11501961061227621)	(126, 0.11674003360932604)	(128, 0.11847080077307036)	(130, 0.12021661399746118)	(132, 0.12189424975954749)	(134, 0.12368520116587786)	(136, 0.12542067022357423)	(138, 0.1271754170464739)
555_R2 - polya	(1, 0.002646225916205648)	(2, 0.005237909862567684)	(3, 0.0069362339580429505)	(4, 0.008389119189221958)	(5, 0.009630419192559362)	(6, 0.010710914422737148)	(7, 0.011562897606846003)	(8, 0.012576625942904884)	(9, 0.013537693066700964)	(10, 0.015074742199621408)	(12, 0.016789522923928803)	(14, 0.018524521792229943)	(16, 0.02022284588770521)	(18, 0.02190377297555795)	(20, 0.023548965669375213)	(22, 0.02507473025681077)	(24, 0.02669312215510143)	(26, 0.028348659015613176)	(28, 0.030017361179190617)	(30, 0.031618356069858744)	(32, 0.03319866262713792)	(34, 0.03481282282087175)	(36, 0.03642275131004875)	(38, 0.03807452665539886)	(40, 0.03979165832668227)	(42, 0.041499386210061606)	(44, 0.0431210694341187)	(46, 0.044836320347821285)	(48, 0.04650408213260832)	(50, 0.04825788857671762)	(52, 0.050020158429940564)	(54, 0.051787130177115545)	(56, 0.05355692306066176)	(58, 0.05536245033824344)	(60, 0.05716985837340593)	(62, 0.05901488156018471)	(64, 0.060863196072729914)	(66, 0.0626315783880905)	(68, 0.06448694574156377)	(70, 0.06638133881483892)	(72, 0.06827338094113805)	(74, 0.07017435666594606)	(76, 0.07210260337567587)	(78, 0.0740891535704109)	(80, 0.0760667701666371)	(82, 0.07807306831597069)	(84, 0.08007278381377145)	(86, 0.08210588275863165)	(88, 0.08419305348394027)	(90, 0.0862849261032009)	(92, 0.08833730281326446)	(94, 0.09044328111438121)	(96, 0.09257135831707254)	(98, 0.09466087998935717)	(100, 0.09682986366943121)	(102, 0.0990327009859599)	(104, 0.10118334727962099)	(106, 0.10334433773997656)	(108, 0.10557679698840307)	(110, 0.10776740938065646)	(112, 0.1100153848791247)	(114, 0.112272764165497)	(116, 0.11452685212610288)	(118, 0.11677200648819988)	(120, 0.11907358357772133)	(122, 0.1214969397206005)	(124, 0.12391277283315638)	(126, 0.12640430643834005)	(128, 0.12877970326290844)	(130, 0.13123174095889503)	(132, 0.13375571763234775)	(134, 0.13633188532866808)	(136, 0.13893720476749102)	(138, 0.14150773019106888)
556_R1 - polya	(1, 0.005294094923674243)	(2, 0.01141086934627916)	(3, 0.015288127355128354)	(4, 0.01875785431589615)	(5, 0.021536301975479143)	(6, 0.024200488593543987)	(7, 0.026175300261116)	(8, 0.028571925606959175)	(9, 0.030804776793293007)	(10, 0.034381147392811076)	(12, 0.0383060141689595)	(14, 0.04228325058913707)	(16, 0.04609909328817026)	(18, 0.04982162280329697)	(20, 0.05335086072318879)	(22, 0.05675488758508365)	(24, 0.06026127329667186)	(26, 0.06389620267996797)	(28, 0.06731736869809055)	(30, 0.07084422617961743)	(32, 0.07437774888856619)	(34, 0.07773273872014283)	(36, 0.08115342865059243)	(38, 0.08458554468519383)	(40, 0.08807812385426526)	(42, 0.0913907418829456)	(44, 0.09472716429527556)	(46, 0.09808596282823615)	(48, 0.10145190267629162)	(50, 0.10489687307806382)	(52, 0.10835898263606374)	(54, 0.11175872470890166)	(56, 0.11514132762551188)	(58, 0.11858820237797604)	(60, 0.12204459888390004)	(62, 0.12543815181698909)	(64, 0.12879266556089275)	(66, 0.13216241411033214)	(68, 0.1354740799636665)	(70, 0.1388709655104665)	(72, 0.1423387881205423)	(74, 0.14573329322897732)	(76, 0.14917207449100062)	(78, 0.15265894060799612)	(80, 0.15607058487265887)	(82, 0.1595065096086442)	(84, 0.16293434085418868)	(86, 0.16629123503645732)	(88, 0.16972715977244265)	(90, 0.17350110675625252)	(92, 0.17695655108683056)	(94, 0.1804600802723808)	(96, 0.18395551596749019)	(98, 0.18751855611216445)	(100, 0.19124203780263715)	(102, 0.19492933682996244)	(104, 0.19843905515526156)	(106, 0.20212444983189487)	(108, 0.20584745543469457)	(110, 0.20947000653849288)	(112, 0.21310255548342405)	(114, 0.2168341306643376)	(116, 0.2204938166066293)	(118, 0.2241811156339546)	(120, 0.22809169977991323)	(122, 0.2317423400564181)	(124, 0.23528919322021064)	(126, 0.23894126175973449)	(128, 0.24258523680881747)	(130, 0.246255396679915)	(132, 0.24986509341654256)	(134, 0.2536823643785947)	(136, 0.25749011358718704)	(138, 0.2612207365927546)
556_R2 - polya	(1, 0.005494051746331004)	(2, 0.010983342615932085)	(3, 0.014458782628775788)	(4, 0.017693322279085395)	(5, 0.020323230584694794)	(6, 0.022737947262111678)	(7, 0.024527084737216695)	(8, 0.02658378348454338)	(9, 0.028599538691992728)	(10, 0.031854550112241004)	(12, 0.03529523572495627)	(14, 0.03892873684523341)	(16, 0.042470353044623044)	(18, 0.04597864310690321)	(20, 0.04942980264842431)	(22, 0.052704809750938254)	(24, 0.05610502791144918)	(26, 0.05958046792429288)	(28, 0.0629378381942345)	(30, 0.06629092367511918)	(32, 0.06971875492066365)	(34, 0.07314420572784316)	(36, 0.07651443036495557)	(38, 0.08001795955050582)	(40, 0.08359242579933192)	(42, 0.08711118979041792)	(44, 0.09066804079534331)	(46, 0.09415443082466583)	(48, 0.0977746014900992)	(50, 0.10140048520760846)	(52, 0.10497399928108858)	(54, 0.1085398959518008)	(56, 0.11212436004175974)	(58, 0.1158435569431755)	(60, 0.11962845394346419)	(62, 0.12341573138211784)	(64, 0.12717539573573794)	(66, 0.13083460559035667)	(68, 0.13462569173039424)	(70, 0.13850342582691644)	(72, 0.14243257739212178)	(74, 0.14628650710499436)	(76, 0.15020756517975886)	(78, 0.15429763437843558)	(80, 0.15828820125345694)	(82, 0.16230638121351187)	(84, 0.16635122208325437)	(86, 0.1704279608270873)	(88, 0.1745408822340677)	(90, 0.17891279533515586)	(92, 0.18310712773421794)	(94, 0.18740810377203027)	(96, 0.1916719449713492)	(98, 0.19597244492148852)	(100, 0.20040434506937374)	(102, 0.20472531678945174)	(104, 0.2091248429755735)	(106, 0.2137662216995753)	(108, 0.2185866093886222)	(110, 0.22314752929588832)	(112, 0.22785222768039812)	(114, 0.2326326240049137)	(116, 0.23746348562276642)	(118, 0.2422729232953345)	(120, 0.2472499438287959)	(122, 0.25216554905244126)	(124, 0.25714066523521073)	(126, 0.2622276620211333)	(128, 0.2672732391795055)	(130, 0.272433077379396)	(132, 0.27753578505852733)	(134, 0.28277941468886436)	(136, 0.2881968163198436)	(138, 0.29351138301345653)
559_R1 - polya	(1, 0.0062985882790401885)	(2, 0.013834350400397278)	(3, 0.01868127030099132)	(4, 0.02288908403271046)	(5, 0.02627175041625893)	(6, 0.029354562193177742)	(7, 0.03170360567175645)	(8, 0.03441433509008371)	(9, 0.03697732592485256)	(10, 0.040960248701599464)	(12, 0.04523262966613302)	(14, 0.049694608479566534)	(16, 0.053985867151999226)	(18, 0.058123915441482446)	(20, 0.06210957411792487)	(22, 0.0659075500752542)	(24, 0.06979799944229231)	(26, 0.07381293224547687)	(28, 0.07763471053015727)	(30, 0.08155853787348082)	(32, 0.08541259977456843)	(34, 0.08918294314497295)	(36, 0.09297024909348972)	(38, 0.09687848180854877)	(40, 0.10074923269777909)	(42, 0.10455240686452993)	(44, 0.1082964855978574)	(46, 0.11204056433118487)	(48, 0.11576959561618694)	(50, 0.11971914041664841)	(52, 0.1236790816359529)	(54, 0.12745298167596159)	(56, 0.13121484375730996)	(58, 0.13507383027784955)	(60, 0.13906550793362213)	(62, 0.14297839167816356)	(64, 0.14687102976495808)	(66, 0.15064000518551485)	(68, 0.15444400012217435)	(70, 0.15832514743024767)	(72, 0.16221532320731624)	(74, 0.1660718474181298)	(76, 0.16996694781465033)	(78, 0.1739857108774086)	(80, 0.17794018029732203)	(82, 0.18184923378228973)	(84, 0.18578017446482165)	(86, 0.1897050961680234)	(88, 0.19370771742257806)	(90, 0.1980523261390735)	(92, 0.201978615792123)	(94, 0.20582310204427628)	(96, 0.20977045812498135)	(98, 0.21371507830599087)	(100, 0.21767036849581295)	(102, 0.22159583737895383)	(104, 0.22560146812317355)	(106, 0.22978438516766342)	(108, 0.23399001017962615)	(110, 0.23786267619864335)	(112, 0.24194710085409427)	(114, 0.2460041665125899)	(116, 0.25005712832154225)	(118, 0.25407260830466594)	(120, 0.2582555253491558)	(122, 0.26235308232314525)	(124, 0.26631849534184077)	(126, 0.27045845876111085)	(128, 0.2744134753609634)	(130, 0.2784253986744829)	(132, 0.28247480381383105)	(134, 0.2866196918525531)	(136, 0.29080069376725604)	(138, 0.29486514635492966)
559_R2 - polya	(1, 0.007710312521931656)	(2, 0.015221451546029012)	(3, 0.0201154289213861)	(4, 0.02423405232303109)	(5, 0.027633134104752717)	(6, 0.030724153580758105)	(7, 0.03307374423927592)	(8, 0.03576368081991718)	(9, 0.03834637013249382)	(10, 0.042339415738114165)	(12, 0.04678716787313095)	(14, 0.051230816158604434)	(16, 0.05567774752371256)	(18, 0.05992878847062102)	(20, 0.06409966755645055)	(22, 0.06811077010006136)	(24, 0.072180694487126)	(26, 0.07654719040118566)	(28, 0.08069864459917696)	(30, 0.08490727910080476)	(32, 0.08901824198330227)	(34, 0.09311689331716994)	(36, 0.09726096058598331)	(38, 0.10151610538243505)	(40, 0.10582596817279732)	(42, 0.11002010240603884)	(44, 0.11417511327363433)	(46, 0.11826391536859808)	(48, 0.12244737959302704)	(50, 0.12667160872291933)	(52, 0.13095247097650903)	(54, 0.13519202114469628)	(56, 0.13950981804417556)	(58, 0.1438683798491182)	(60, 0.14825758373065073)	(62, 0.1526845430279815)	(64, 0.15709837000677376)	(66, 0.16153709367279528)	(68, 0.16605679996980444)	(70, 0.17056556266803144)	(72, 0.17508143870546683)	(74, 0.17961673963074043)	(76, 0.1841597010751615)	(78, 0.188884052669396)	(80, 0.19354438421075515)	(82, 0.19812072363146166)	(84, 0.20290252911930218)	(86, 0.207571615539687)	(88, 0.2124182618503115)	(90, 0.2175297432514629)	(92, 0.2223296056772939)	(94, 0.22715354402044552)	(96, 0.23206858782345818)	(98, 0.2370126321632434)	(100, 0.24214901025162408)	(102, 0.2472142549479211)	(104, 0.2521785449454532)	(106, 0.2574725108562962)	(108, 0.262825298610593)	(110, 0.26789081689685956)	(112, 0.2731927169168197)	(114, 0.27845385203131634)	(116, 0.2838036302959481)	(118, 0.28917228626847896)	(120, 0.29466952952669956)	(122, 0.3001317532688174)	(124, 0.30565170449451085)	(126, 0.31137630101742964)	(128, 0.31687053478598515)	(130, 0.32252618663657673)	(132, 0.32820865030418445)	(134, 0.3341562226522886)	(136, 0.3402539958936772)	(138, 0.34611648176125054)
561_R1 - polya	(1, 0.0028532947228433825)	(2, 0.005396603468766379)	(3, 0.007204099989723867)	(4, 0.008757265636089057)	(5, 0.010053511798451337)	(6, 0.011348463656108313)	(7, 0.012376141592119947)	(8, 0.013365637539325103)	(9, 0.01432601163066091)	(10, 0.015774662172072774)	(12, 0.017452728222499832)	(14, 0.019160239704972562)	(16, 0.020710816741927145)	(18, 0.02220379721949568)	(20, 0.02372945889087315)	(22, 0.02510271618320104)	(24, 0.026492475860521558)	(26, 0.028062467468055702)	(28, 0.029527296818283873)	(30, 0.031061695046422148)	(32, 0.032531378039295206)	(34, 0.033911754007502265)	(36, 0.035287923485417094)	(38, 0.03671489442301511)	(40, 0.038170340064129823)	(42, 0.03956527696027155)	(44, 0.0409330334576019)	(46, 0.04228719975552655)	(48, 0.04361709784022674)	(50, 0.04502109486930561)	(52, 0.04645680236366443)	(54, 0.04787180098273838)	(56, 0.049292623972986206)	(58, 0.05072994934822665)	(60, 0.05213718213906878)	(62, 0.05356835956695904)	(64, 0.05495455990633997)	(66, 0.05631552130396747)	(68, 0.05769395581511658)	(70, 0.05903323760893022)	(72, 0.060478975964755155)	(74, 0.0618852380270683)	(76, 0.06326076035263048)	(78, 0.06466249234847504)	(80, 0.06610111202842081)	(82, 0.06750899197161558)	(84, 0.06892528489539484)	(86, 0.07031439742036272)	(88, 0.0717261602776734)	(90, 0.07316445638144284)	(92, 0.07455906970140824)	(94, 0.07597439189665851)	(96, 0.07740556932454878)	(98, 0.07881118423450928)	(100, 0.08014981887597027)	(102, 0.081559640276223)	(104, 0.08296299015294922)	(106, 0.08445597063051775)	(108, 0.08589912037693208)	(110, 0.08726590614573344)	(112, 0.0886563129754066)	(114, 0.09008522537006258)	(116, 0.09152158001677406)	(118, 0.0929909394334708)	(120, 0.09440949739048433)	(122, 0.09582999680455584)	(124, 0.09721781502481838)	(126, 0.0986260185441895)	(128, 0.10000024656504636)	(130, 0.10139485988501176)	(132, 0.10279367969526942)	(134, 0.10425721474079228)	(136, 0.1057401643568947)	(138, 0.10718234337478005)
561_R2 - polya	(1, 0.0033140671979317218)	(2, 0.006131121389026583)	(3, 0.008148295272243372)	(4, 0.00997067629731186)	(5, 0.01147012829840692)	(6, 0.012906159368942068)	(7, 0.014028321548440916)	(8, 0.015218434724968243)	(9, 0.016287530411549615)	(10, 0.017905734869356343)	(12, 0.01981030424321166)	(14, 0.021769234414689753)	(16, 0.023583202459173763)	(18, 0.025365783614554143)	(20, 0.02714221682258433)	(22, 0.028794396778905298)	(24, 0.03041065977965407)	(26, 0.03216961987416265)	(28, 0.03387098340928518)	(30, 0.035646769464962716)	(32, 0.037356222404493405)	(34, 0.03901552103669355)	(36, 0.04065443436978514)	(38, 0.04239592135077211)	(40, 0.044156175749985996)	(42, 0.045949434919185135)	(44, 0.04763591395019667)	(46, 0.04926058993152992)	(48, 0.05094771611489411)	(50, 0.05273126799880347)	(52, 0.05448828663625409)	(54, 0.05624239308811777)	(56, 0.057978055697930866)	(58, 0.05975837182007697)	(60, 0.061609874701014804)	(62, 0.06338566075669233)	(64, 0.06514656230825887)	(66, 0.066881254189543)	(68, 0.06868616210108987)	(70, 0.07045353517618293)	(72, 0.07227818123448569)	(74, 0.07415233444776635)	(76, 0.07603069415133926)	(78, 0.07795306021489251)	(80, 0.07979841514848014)	(82, 0.08162823842560413)	(84, 0.08350530382447173)	(86, 0.08538431068039729)	(88, 0.08733741648070151)	(90, 0.08940603897595414)	(92, 0.09140606332182566)	(94, 0.09335916912212987)	(96, 0.09534916260653528)	(98, 0.0973569527806386)	(100, 0.09935503566945215)	(102, 0.10138838836148525)	(104, 0.10344568569056647)	(106, 0.10559002501107942)	(108, 0.10780522751420776)	(110, 0.10986058338623103)	(112, 0.11199262681204358)	(114, 0.11423824547574658)	(116, 0.11651686890943484)	(118, 0.11870812677551507)	(120, 0.12100616477978288)	(122, 0.12326796225230219)	(124, 0.12555855800451451)	(126, 0.12790642673993657)	(128, 0.13023261587154475)	(130, 0.13256042288403458)	(132, 0.13494323784649986)	(134, 0.13737491281159037)	(136, 0.13992210447162926)	(138, 0.1424362913616829)
562_R1 - polya	(1, 0.003614752594045899)	(2, 0.007656140506225368)	(3, 0.01029049711959927)	(4, 0.012700554041536336)	(5, 0.014616086717961321)	(6, 0.016308650858388264)	(7, 0.017607858566651494)	(8, 0.019093428036345922)	(9, 0.02044654753988032)	(10, 0.022581055285986966)	(12, 0.024835699810444797)	(14, 0.0270727065253386)	(16, 0.02927077694364768)	(18, 0.03144921281923453)	(20, 0.03351816115998056)	(22, 0.03548061706562305)	(24, 0.03751795046469771)	(26, 0.03959322179377801)	(28, 0.04157165156468602)	(30, 0.043602329186566716)	(32, 0.045650977406871136)	(34, 0.04765137124251925)	(36, 0.049610499259564754)	(38, 0.05167778365601229)	(40, 0.05371212195534966)	(42, 0.05565860399572662)	(44, 0.05761606806847362)	(46, 0.05963742760228276)	(48, 0.06162317872810414)	(50, 0.06366616953779368)	(52, 0.0657144849692384)	(54, 0.06772852314813416)	(56, 0.06972525630632559)	(58, 0.07174994372873171)	(60, 0.07382488226895231)	(62, 0.07592111929619363)	(64, 0.07798840369264116)	(66, 0.07999012868372807)	(68, 0.08199784387428957)	(70, 0.08402419524099418)	(72, 0.08607916644963287)	(74, 0.08813879670230734)	(76, 0.09016714480217014)	(78, 0.09230398207029467)	(80, 0.0943745943553392)	(82, 0.09643355903029427)	(84, 0.09855176012227568)	(86, 0.10066863005881829)	(88, 0.10279614923887127)	(90, 0.10498090810279241)	(92, 0.10709977477249322)	(94, 0.10919168554455845)	(96, 0.11123035009907191)	(98, 0.11329630334008065)	(100, 0.11543979638539917)	(102, 0.11754668265615081)	(104, 0.11957602912259271)	(106, 0.12168358097106378)	(108, 0.12379679023014972)	(110, 0.12586440741545696)	(112, 0.127933355756203)	(114, 0.12999764505291322)	(116, 0.13209621160217244)	(118, 0.13415351233282902)	(120, 0.13629367748955054)	(122, 0.13836495535231447)	(124, 0.1403783279534908)	(126, 0.14246924035897696)	(128, 0.1445085704912098)	(130, 0.14654623667914415)	(132, 0.14864347207296458)	(134, 0.15080959476074257)	(136, 0.15295641569465807)	(138, 0.1550017360263655)
562_R2 - polya	(1, 0.0038430457517991197)	(2, 0.0075583005814739875)	(3, 0.010020938143243428)	(4, 0.012236646371116525)	(5, 0.013979128840498253)	(6, 0.015608463097582466)	(7, 0.016756584663542542)	(8, 0.01814497978620499)	(9, 0.01940624956446258)	(10, 0.02135306439369923)	(12, 0.023548472501130714)	(14, 0.02572990347645486)	(16, 0.02786208170054362)	(18, 0.029928367730412058)	(20, 0.03199798164887748)	(22, 0.0339301537682874)	(24, 0.03589560477366717)	(26, 0.0379881811234518)	(28, 0.039997560258311776)	(30, 0.04203888712370282)	(32, 0.04403861538163155)	(34, 0.04601072216420529)	(36, 0.04794722053879129)	(38, 0.05006475605305331)	(40, 0.052219563919601565)	(42, 0.05433976174474117)	(44, 0.05643067415022731)	(46, 0.058472333804478055)	(48, 0.06061016943918168)	(50, 0.06288078782890505)	(52, 0.06510115510081393)	(54, 0.06726561384429344)	(56, 0.06944571366417879)	(58, 0.07168771221196807)	(60, 0.07395466992423476)	(62, 0.07629750349651271)	(64, 0.07856013495360331)	(66, 0.08092293585746319)	(68, 0.08324447094272042)	(70, 0.08558364383754169)	(72, 0.08793912338648818)	(74, 0.09026298799376332)	(76, 0.09267171376026159)	(78, 0.09517262204089638)	(80, 0.09762926940319124)	(82, 0.10001336879407181)	(84, 0.10247001615636667)	(86, 0.10498856224656547)	(88, 0.1075929678625665)	(90, 0.11026193451734906)	(92, 0.11282440873702806)	(94, 0.11544445542943493)	(96, 0.11798862626183053)	(98, 0.12057239896853025)	(100, 0.12318346036172526)	(102, 0.12584077940641836)	(104, 0.12850142633970846)	(106, 0.13121898016800698)	(108, 0.13394651766209648)	(110, 0.13655325280011543)	(112, 0.13927247057271247)	(114, 0.142059577272688)	(116, 0.14488661863582739)	(118, 0.14781382944573604)	(120, 0.15077698145249213)	(122, 0.15379337967679999)	(124, 0.156734567618816)	(126, 0.15972966735610314)	(128, 0.162676512708734)	(130, 0.1656815961118121)	(132, 0.16872761254463314)	(134, 0.1718827837234353)	(136, 0.17504228115741355)	(138, 0.17814919795155945)
