Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
552_R1	(1, 36.16392987644871)	(2, 35.474556802001814)	(3, 35.6141438730194)	(4, 35.67549858207056)	(5, 35.59361682607867)	(6, 35.530154933562855)	(7, 35.427401375638176)	(8, 35.56682108198789)	(9, 35.512713662349334)	(10, 35.52150430428675)	(15, 35.48444670320548)	(20, 35.47738329204766)	(25, 35.43362209612437)	(30, 35.416696463395006)	(35, 35.37488341866784)	(40, 35.34745739078349)	(45, 35.322347108367204)	(50, 35.275783611558154)	(55, 35.2411534541997)	(60, 35.235207249256746)	(65, 35.21562823404695)	(70, 35.1574783138478)	(75, 35.090416804335675)	(80, 35.07251698181184)	(85, 35.025208524397364)	(90, 35.0026891613937)	(95, 34.94427893483363)	(100, 34.85576783843644)	(105, 34.82851732332996)	(110, 34.752183875797606)	(115, 34.71726101967887)	(120, 34.64691344813106)	(125, 34.60527027881744)	(130, 34.53037304081015)	(135, 34.507390500360664)	(140, 34.40271268270173)	(145, 34.35941359629105)	(150, 34.30911331922144)
552_R2	(1, 36.40925138581859)	(2, 35.91589091018003)	(3, 36.0494520970952)	(4, 36.13499183153155)	(5, 36.103109653800544)	(6, 36.066666660891215)	(7, 35.949954451781636)	(8, 36.06878710688943)	(9, 36.00637304115667)	(10, 36.01058192980905)	(15, 35.947878339188364)	(20, 35.900907228963646)	(25, 35.85602013529817)	(30, 35.7831250515705)	(35, 35.75059739011139)	(40, 35.68888367435751)	(45, 35.65864485211964)	(50, 35.55800591066387)	(55, 35.505765937657074)	(60, 35.409838282855986)	(65, 35.386128519258364)	(70, 35.33635443557047)	(75, 35.22307473238409)	(80, 35.102838283777444)	(85, 35.05069662993273)	(90, 34.924402167869786)	(95, 34.86205796513152)	(100, 34.72239214270177)	(105, 34.618296339199716)	(110, 34.48268425898165)	(115, 34.33052831798604)	(120, 34.20151681013134)	(125, 34.03733715859244)	(130, 33.87554116866437)	(135, 33.735336865320335)	(140, 33.5418700507822)	(145, 33.34350240876828)	(150, 33.233582245518775)
553_R1	(1, 36.43002966955671)	(2, 35.485399264378984)	(3, 35.66545768466384)	(4, 35.7673137230266)	(5, 35.63629133686634)	(6, 35.57566490206593)	(7, 35.53812039467402)	(8, 35.58633134053755)	(9, 35.6002321787558)	(10, 35.56649286862002)	(15, 35.523405321647076)	(20, 35.50473860816159)	(25, 35.45166146820087)	(30, 35.42397717108647)	(35, 35.36994951772561)	(40, 35.32960758991968)	(45, 35.29513366122744)	(50, 35.2317591879146)	(55, 35.18304044646182)	(60, 35.168735766102756)	(65, 35.132639978057135)	(70, 35.05839918092464)	(75, 34.97320343091182)	(80, 34.9377202375547)	(85, 34.87431958453492)	(90, 34.83622010805159)	(95, 34.756546924655886)	(100, 34.64468791223436)	(105, 34.60226721787794)	(110, 34.499718778162986)	(115, 34.44559239833455)	(120, 34.354878696382016)	(125, 34.28960455155038)	(130, 34.1899978510575)	(135, 34.14996827829327)	(140, 34.01196154618462)	(145, 33.944585356069915)	(150, 33.87841546913035)
553_R2	(1, 36.17924036044625)	(2, 35.58264871784913)	(3, 35.759757580842006)	(4, 35.843506069462826)	(5, 35.773660855206685)	(6, 35.75063214966392)	(7, 35.70792775345474)	(8, 35.71948020251601)	(9, 35.711304569761744)	(10, 35.65272930865329)	(15, 35.571790424912194)	(20, 35.49392149636664)	(25, 35.42742666109508)	(30, 35.31840739456501)	(35, 35.265748230127954)	(40, 35.17380349951408)	(45, 35.130306689274484)	(50, 34.98216806709151)	(55, 34.90830748054604)	(60, 34.77372897210106)	(65, 34.73349577109715)	(70, 34.664414496893244)	(75, 34.50736920201466)	(80, 34.34011874225736)	(85, 34.268679640462494)	(90, 34.10012335954823)	(95, 34.011234644892035)	(100, 33.82107534172998)	(105, 33.685468506941014)	(110, 33.50190120134407)	(115, 33.30929197305525)	(120, 33.153508038261165)	(125, 32.94223658235649)	(130, 32.746547118520866)	(135, 32.57022001025105)	(140, 32.32859071999766)	(145, 32.083215325373445)	(150, 31.952891583073942)
554_R1	(1, 36.11417016957273)	(2, 35.40634422124432)	(3, 35.53073171052944)	(4, 35.58023390197366)	(5, 35.47961408533063)	(6, 35.404215248063906)	(7, 35.32070308451128)	(8, 35.443427031115334)	(9, 35.39334977924576)	(10, 35.38925950050878)	(15, 35.34341315051718)	(20, 35.33171573953562)	(25, 35.27534302645576)	(30, 35.253159655714384)	(35, 35.198792757458286)	(40, 35.165744259544546)	(45, 35.12973480420017)	(50, 35.07430849205117)	(55, 35.0270127444464)	(60, 35.01730175246281)	(65, 34.98873592461887)	(70, 34.9188990102899)	(75, 34.835818373843146)	(80, 34.81005661250263)	(85, 34.752261902792405)	(90, 34.72137377605008)	(95, 34.650381097525596)	(100, 34.545721913557834)	(105, 34.510057087216985)	(110, 34.41751861955642)	(115, 34.37371769920845)	(120, 34.28938398769427)	(125, 34.237047886491546)	(130, 34.14704952558675)	(135, 34.117735487268945)	(140, 33.99344963884481)	(145, 33.94101071339931)	(150, 33.88156484690583)
554_R2	(1, 35.700326352810414)	(2, 35.3693755223057)	(3, 35.495933650703705)	(4, 35.534059272462684)	(5, 35.48704848963254)	(6, 35.44263656054238)	(7, 35.35780470346857)	(8, 35.45212528965699)	(9, 35.38420850761524)	(10, 35.347606087625444)	(15, 35.25876804495554)	(20, 35.18148878182213)	(25, 35.10845895113739)	(30, 34.99291618245958)	(35, 34.9374385640251)	(40, 34.83914843746533)	(45, 34.791171890062564)	(50, 34.63512804138484)	(55, 34.55578175807916)	(60, 34.4113439004253)	(65, 34.37580917552533)	(70, 34.30456185824166)	(75, 34.13648540321138)	(80, 33.96438236781664)	(85, 33.89527779971346)	(90, 33.720097378705944)	(95, 33.63800564219361)	(100, 33.44221781544538)	(105, 33.305605348469825)	(110, 33.127210154440796)	(115, 32.931060855303926)	(120, 32.778846806441514)	(125, 32.56940405468073)	(130, 32.380167527375775)	(135, 32.21018581774223)	(140, 31.979891007193896)	(145, 31.74214795073767)	(150, 31.616599633224673)
555_R1	(1, 36.428303541522006)	(2, 35.77989344511503)	(3, 35.85923477409426)	(4, 35.90057995699027)	(5, 35.809419655855784)	(6, 35.718317968531295)	(7, 35.66353795120068)	(8, 35.76692471883168)	(9, 35.713670973893045)	(10, 35.706710367197516)	(15, 35.66490884856664)	(20, 35.64283571337093)	(25, 35.58965552109976)	(30, 35.55608050759615)	(35, 35.503661610259314)	(40, 35.45916349338195)	(45, 35.42228675728401)	(50, 35.35568693650329)	(55, 35.3071980796111)	(60, 35.28678457380439)	(65, 35.25081899140481)	(70, 35.17274557138718)	(75, 35.080997674565495)	(80, 35.044594099459744)	(85, 34.9785475749902)	(90, 34.935280848404474)	(95, 34.852932599939436)	(100, 34.73864316524655)	(105, 34.691247871088216)	(110, 34.5852775443836)	(115, 34.527393690248275)	(120, 34.429963624173595)	(125, 34.36097006918188)	(130, 34.256647244741394)	(135, 34.21008667781636)	(140, 34.06683756546576)	(145, 33.99507752139509)	(150, 33.920683073850384)
555_R2	(1, 35.79380618005092)	(2, 35.57333167375285)	(3, 35.641088532835774)	(4, 35.65550312912453)	(5, 35.6060434928764)	(6, 35.537176253325335)	(7, 35.482237857398836)	(8, 35.54962447054441)	(9, 35.468873739449265)	(10, 35.4183649884112)	(15, 35.31033054530771)	(20, 35.21483132326897)	(25, 35.12438740457777)	(30, 34.98422047022758)	(35, 34.91492949411279)	(40, 34.79366187328326)	(45, 34.730377472654325)	(50, 34.546838658562066)	(55, 34.45149027704283)	(60, 34.27856255992622)	(65, 34.22597746756499)	(70, 34.13269977381163)	(75, 33.93761323794545)	(80, 33.73603451686681)	(85, 33.64410616887828)	(90, 33.43691923745776)	(95, 33.327527530599994)	(100, 33.093298716861604)	(105, 32.92365589520126)	(110, 32.71064082705111)	(115, 32.481569562165376)	(120, 32.29889317510408)	(125, 32.05310318277127)	(130, 31.83120597552041)	(135, 31.622673717513987)	(140, 31.351704327003482)	(145, 31.074296896410516)	(150, 30.923628650546938)
556_R1	(1, 36.311714395233494)	(2, 35.653355985330904)	(3, 35.74242349554367)	(4, 35.78889546069733)	(5, 35.69667089886391)	(6, 35.61208000295327)	(7, 35.52882001965423)	(8, 35.648254858262845)	(9, 35.58797255141278)	(10, 35.59232798807168)	(15, 35.54484630952023)	(20, 35.529004985428244)	(25, 35.47449985014188)	(30, 35.446064083705046)	(35, 35.394596001189186)	(40, 35.35525147983998)	(45, 35.320327744848015)	(50, 35.25863518823216)	(55, 35.214507275014796)	(60, 35.196618865337776)	(65, 35.16700918667343)	(70, 35.092247526398424)	(75, 35.00813904441377)	(80, 34.97592887014026)	(85, 34.91548094000616)	(90, 34.87834414003156)	(95, 34.80367921505864)	(100, 34.695858716145985)	(105, 34.65525560942445)	(110, 34.55810222046053)	(115, 34.50749658409475)	(120, 34.418776574083196)	(125, 34.358636181351045)	(130, 34.26413293822755)	(135, 34.22639340173717)	(140, 34.09640953434884)	(145, 34.0352603937247)	(150, 33.97071303831697)
556_R2	(1, 35.73576655204729)	(2, 35.49536620535263)	(3, 35.58203145334151)	(4, 35.609255231963104)	(5, 35.56276707982856)	(6, 35.50530534487539)	(7, 35.42548728501702)	(8, 35.51053437765767)	(9, 35.4315330081153)	(10, 35.39023193020425)	(15, 35.28866417254491)	(20, 35.19870733055899)	(25, 35.11378843499823)	(30, 34.98188808429966)	(35, 34.91669693647961)	(40, 34.802063537270655)	(45, 34.743348341552874)	(50, 34.56833327599651)	(55, 34.47769177994546)	(60, 34.31390236658707)	(65, 34.26551435993254)	(70, 34.17763258034768)	(75, 33.99171883389408)	(80, 33.80042327812395)	(85, 33.7146624481744)	(90, 33.518280295531994)	(95, 33.417514166679034)	(100, 33.19728110900395)	(105, 33.03864237201428)	(110, 32.83881020624947)	(115, 32.620906209462035)	(120, 32.44927858577738)	(125, 32.217655955109805)	(130, 32.00759069615377)	(135, 31.815324955593162)	(140, 31.563230206490744)	(145, 31.30291284435314)	(150, 31.164801309142074)
