Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
553_R2	(1.0, 91.49702913740548)	(2.0, 6.4973344735186815)	(3.0, 0.9848147141803715)	(4.0, 0.2643423137780416)	(5.0, 0.11319949820402007)	(6.0, 0.09120333447425037)	(7.0, 0.06116491746067016)	(8.0, 0.04614595023909232)	(9.0, 0.04616754321711761)	('>10', 0.33616550698157405)	('>50', 0.049441675065385354)	('>100', 0.012990935475319968)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
554_R1	(1.0, 80.82037859816577)	(2.0, 9.79175353591401)	(3.0, 2.139298428352016)	(4.0, 0.9389830171642362)	(5.0, 0.6181802885206663)	(6.0, 0.47028275577984696)	(7.0, 0.39536006265798435)	(8.0, 0.3374116650391063)	(9.0, 0.30045948866285427)	('>10', 2.410039595399068)	('>50', 0.8507460551372483)	('>100', 0.9026361577369366)	('>500', 0.023113099154654062)	('>1k', 0.0013572523157511416)	('>5k', 0.0)	('>10k+', 0.0)
554_R2	(1.0, 81.08602452511053)	(2.0, 9.708556278067348)	(3.0, 2.056272925974668)	(4.0, 0.9409589845690705)	(5.0, 0.6061614100263932)	(6.0, 0.5253025876552018)	(7.0, 0.3653235453796639)	(8.0, 0.3073673432955987)	(9.0, 0.24236463452558926)	('>10', 2.302183616484731)	('>50', 0.9162127538737926)	('>100', 0.9223514049198254)	('>500', 0.0209199901175707)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
555_R1	(1.0, 95.62383660266546)	(2.0, 2.572910882842744)	(3.0, 0.44136390614640103)	(4.0, 0.20526575426422852)	(5.0, 0.15327045630896935)	(6.0, 0.08619256794030794)	(7.0, 0.07821144112624745)	(8.0, 0.05316867530940656)	(9.0, 0.05219003244630622)	('>10', 0.6600630461500735)	('>50', 0.06500059581051403)	('>100', 0.008526038989298249)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
555_R2	(1.0, 95.58003524980808)	(2.0, 2.6439416791557786)	(3.0, 0.4253516603959881)	(4.0, 0.19725584951832878)	(5.0, 0.1061876378773798)	(6.0, 0.0881972745837979)	(7.0, 0.10327948972289992)	(8.0, 0.06721342019953157)	(9.0, 0.05018287038082018)	('>10', 0.6833772643811415)	('>50', 0.045325801861661005)	('>100', 0.009651802114619353)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
556_R1	(1.0, 88.34709249154294)	(2.0, 5.687499130735728)	(3.0, 1.3075079273573966)	(4.0, 0.7036084114495141)	(5.0, 0.5036752427459359)	(6.0, 0.3556459448908826)	(7.0, 0.2615994769733233)	(8.0, 0.1774910478442779)	(9.0, 0.16754306195154767)	('>10', 1.841762599869061)	('>50', 0.46747281963801635)	('>100', 0.1777626572584387)	('>500', 0.0013391877430144992)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
556_R2	(1.0, 88.40898482534249)	(2.0, 5.611502306937659)	(3.0, 1.2774957176621946)	(4.0, 0.7556532363685756)	(5.0, 0.5046765644339758)	(6.0, 0.36866965596357226)	(7.0, 0.2786386205881646)	(8.0, 0.17348004506220582)	(9.0, 0.1474781335324167)	('>10', 1.8271900005464077)	('>50', 0.48196241863272354)	('>100', 0.1616477870122629)	('>500', 0.002620687917451361)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
557_R1	(1.0, 96.00695294762733)	(2.0, 3.207209174794949)	(3.0, 0.41632704594956216)	(4.0, 0.11814104395718328)	(5.0, 0.056089853052948425)	(6.0, 0.025050346532335142)	(7.0, 0.02907027614048441)	(8.0, 0.01002832880509129)	(9.0, 0.018058366030603713)	('>10', 0.10972090155832213)	('>50', 0.0010267783049415272)	('>100', 0.0023249372462677284)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
557_R2	(1.0, 96.14418720248868)	(2.0, 3.103178107746928)	(3.0, 0.39230926689012635)	(4.0, 0.10112101962116234)	(5.0, 0.05108198726742407)	(6.0, 0.03707463212386032)	(7.0, 0.025060667171589987)	(8.0, 0.01905389161526288)	(9.0, 0.015048693393751233)	('>10', 0.1106629135231004)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0012216181581359258)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
558_R1	(1.0, 97.60318336570694)	(2.0, 1.8486847797943344)	(3.0, 0.2621990719772495)	(4.0, 0.08509768051297185)	(5.0, 0.043066161917054806)	(6.0, 0.030057846506884027)	(7.0, 0.0240556292516509)	(8.0, 0.016043322480099882)	(9.0, 0.02206814556009222)	('>10', 0.06436651772050464)	('>50', 0.0)	('>100', 0.0011774785721703053)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
558_R2	(1.0, 97.63731972774707)	(2.0, 1.8256789748695201)	(3.0, 0.23818121130832)	(4.0, 0.09310702849682577)	(5.0, 0.04506931786618151)	(6.0, 0.026050181325459203)	(7.0, 0.02104871592397748)	(8.0, 0.022059612559691494)	(9.0, 0.013040295042850484)	('>10', 0.07742339337360145)	('>50', 0.001021541486479587)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
