0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	1
9	0
10	4
11	6
12	10
13	6
14	36
15	17
16	95
17	96
18	276
19	197
20	603
21	441
22	1220
23	849
24	2299
25	1495
26	3859
27	2329
28	5588
29	3130
30	6968
31	3862
32	8705
33	4695
34	9634
35	5018
36	10602
37	5259
38	10592
39	5084
40	9894
41	4865
42	8657
43	3854
44	7565
45	3471
46	6155
47	2832
48	5399
49	2510
50	4632
51	2096
52	3788
53	1867
54	3180
55	1430
56	2454
57	1029
58	2039
59	968
60	1919
61	935
62	1950
63	1039
64	2173
65	1247
66	2532
67	1358
68	2672
69	1320
70	2528
71	1165
72	2123
73	871
74	1476
75	632
76	923
77	339
78	495
79	166
80	218
81	62
82	84
83	26
84	37
85	13
86	27
87	4
88	3
89	0
90	1
91	0
92	0
93	0
94	0
95	1
96	0
97	0
98	0
99	0
100	0
