0	0
1	0
2	0
3	0
4	0
5	0
6	1
7	1
8	1
9	0
10	5
11	1
12	7
13	8
14	27
15	30
16	102
17	81
18	328
19	237
20	695
21	519
22	1403
23	1017
24	2659
25	1757
26	4320
27	2628
28	6071
29	3405
30	7354
31	3917
32	8377
33	4463
34	9447
35	4886
36	9740
37	4855
38	9505
39	4487
40	8789
41	4169
42	7685
43	3432
44	6496
45	3049
46	5788
47	2665
48	5078
49	2436
50	4717
51	2234
52	4217
53	1791
54	3265
55	1561
56	2593
57	1213
58	2367
59	1121
60	2238
61	1137
62	2366
63	1178
64	2512
65	1392
66	2912
67	1516
68	3173
69	1453
70	2858
71	1321
72	2390
73	1046
74	1757
75	753
76	1175
77	411
78	637
79	187
80	297
81	84
82	109
83	21
84	44
85	8
86	19
87	1
88	4
89	1
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
