0	0
1	0
2	0
3	0
4	0
5	0
6	4
7	4
8	10
9	14
10	34
11	36
12	124
13	90
14	284
15	222
16	605
17	384
18	1008
19	670
20	1666
21	1060
22	2569
23	1662
24	3962
25	2339
26	5646
27	3368
28	7280
29	3935
30	8179
31	4184
32	8546
33	4377
34	8966
35	4556
36	9083
37	4665
38	8749
39	4089
40	8030
41	3763
42	6940
43	3149
44	5922
45	2759
46	4913
47	2195
48	4008
49	1762
50	3365
51	1598
52	2893
53	1367
54	2455
55	1129
56	2233
57	1054
58	2155
59	1123
60	2278
61	1225
62	2628
63	1425
64	3048
65	1585
66	3171
67	1682
68	3297
69	1574
70	2992
71	1364
72	2360
73	1057
74	1783
75	714
76	1012
77	413
78	564
79	196
80	220
81	72
82	81
83	26
84	22
85	12
86	13
87	2
88	0
89	1
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
