0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	1
9	0
10	0
11	0
12	1
13	0
14	4
15	8
16	8
17	14
18	35
19	29
20	76
21	57
22	176
23	117
24	269
25	184
26	431
27	251
28	615
29	337
30	754
31	424
32	892
33	513
34	1007
35	584
36	1143
37	691
38	1443
39	776
40	1671
41	940
42	2230
43	1253
44	2918
45	1685
46	3746
47	2128
48	4768
49	2535
50	5613
51	3009
52	6062
53	3294
54	6434
55	3424
56	6757
57	3364
58	6730
59	3417
60	6949
61	3608
62	7495
63	3990
64	8320
65	4412
66	9586
67	5016
68	10646
69	5426
70	10807
71	4991
72	9577
73	4274
74	7439
75	3145
76	4656
77	1694
78	2370
79	827
80	1049
81	297
82	361
83	92
84	110
85	22
86	16
87	4
88	3
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
