IID,FROH_short,FROH_medium,FROH_long,NSEG_short,NSEG_medium,NSEG_long,KB_short,KB_medium,KB_long
548,0.0636727756456992,0.0030792965183939957,0,198,2,0,32241.5,1559.24,0
551,0.04921593626673803,0.0010513833404473421,0,166,1,0,24921.1,532.381,0
550,0.05044292308523819,0.001051100934017203,0,173,1,0,25542.4,532.238,0
547,0.040799039726503554,0,0,144,0,0,20659.1,0,0
552,0.03659118391742856,0,0,133,0,0,18528.4,0,0
554,0.02396386423693601,0,0,73,0,0,12134.4,0,0
556,0.018158851950162935,0,0,62,0,0,9194.96,0,0
559,0.02651895122514703,0,0,94,0,0,13428.2,0,0
561,0.017569530951436662,0,0,68,0,0,8896.55,0,0
