Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66
554_R1 - polya	(1, 0.007252009299802186)	(2, 0.009134162737686904)	(3, 0.010966589532562781)	(4, 0.012795286829212993)	(5, 0.014587932309681794)	(6, 0.016382442539263426)	(7, 0.018111064966858343)	(8, 0.01983347156407715)	(9, 0.021527906924603487)	(10, 0.024197606071140763)	(12, 0.027823610721041857)	(14, 0.031248222466757132)	(16, 0.03473157380952661)	(18, 0.03820125032546865)	(20, 0.04162896998637198)	(22, 0.04503742057310938)	(24, 0.048518907166766025)	(26, 0.05195191028348904)	(28, 0.05541599255209259)	(30, 0.058790566863280214)	(32, 0.062109820284120515)	(34, 0.06550117733732364)	(36, 0.06900068983907098)	(38, 0.07240696488517673)	(40, 0.0757426902565137)	(42, 0.07908711779037722)	(44, 0.08255461876568763)	(46, 0.08612841044042943)	(48, 0.08956327830626529)	(50, 0.09304445410840312)	(52, 0.0964867809706903)	(54, 0.0999477553241058)	(56, 0.10337920448323479)	(58, 0.10682215292855957)	(60, 0.11021537473087553)	(62, 0.11365521526101227)	(64, 0.11724392492865672)	(66, 0.12064833522564966)	(68, 0.12403751673822114)	(70, 0.12753702923996846)	(72, 0.13096692444150343)	(74, 0.13454413482295213)	(76, 0.13832802156440627)	(78, 0.1417964549142731)	(80, 0.14527980625704257)	(82, 0.1487793187587899)	(84, 0.15224806290017556)	(86, 0.15586629776210653)	(88, 0.15945283188911935)	(90, 0.16293121056758791)	(92, 0.16668308578260516)	(94, 0.17035788470095867)	(96, 0.17378840148553126)	(98, 0.177370273739762)	(100, 0.18101585825534783)	(102, 0.18460985137881197)	(104, 0.18813888907484583)	(106, 0.19189076428986304)	(108, 0.19553479484785485)	(110, 0.1990358613071962)	(112, 0.20250398386554425)	(114, 0.20577692935008252)	(116, 0.20882206465133657)	(118, 0.2114821292607909)	(120, 0.21355355473362803)	(122, 0.21478459993961568)	(124, 0.2149508734021765)
554_R2 - polya	(1, 0.006412250615990344)	(2, 0.008245920576941441)	(3, 0.010069023626253159)	(4, 0.011800132385998516)	(5, 0.013610803774558023)	(6, 0.015302752802933917)	(7, 0.016964865845504506)	(8, 0.018646869545278628)	(9, 0.02024185161978728)	(10, 0.022831366554472793)	(12, 0.026427846010087387)	(14, 0.029837850554418816)	(16, 0.03329385224353343)	(18, 0.036762907176437855)	(20, 0.0402266786535226)	(22, 0.043582605473581906)	(24, 0.04707434818735913)	(26, 0.05068263772068832)	(28, 0.05421571570646663)	(30, 0.05769440517645403)	(32, 0.06117993205985514)	(34, 0.0647036863000693)	(36, 0.06841205070245379)	(38, 0.07209928128155951)	(40, 0.07568022116123385)	(42, 0.07920552935904203)	(44, 0.0828890304399221)	(46, 0.08667353876441389)	(48, 0.09041609023386696)	(50, 0.09408840282007003)	(52, 0.09780671255105627)	(54, 0.10148897046586114)	(56, 0.10531326010476)	(58, 0.10905581157421307)	(60, 0.11284094148174245)	(62, 0.11672055201098863)	(64, 0.12085594396021157)	(66, 0.12481294157764028)	(68, 0.1287121319725712)	(70, 0.13269368211998553)	(72, 0.13669325817549055)	(74, 0.14086345877481968)	(76, 0.14530839907677268)	(78, 0.14943322411435622)	(80, 0.1535962765087528)	(82, 0.15774565407632196)	(84, 0.16194133958019313)	(86, 0.1663396611543253)	(88, 0.17072834819137456)	(90, 0.1750716596666782)	(92, 0.17953959854102278)	(94, 0.1840740468003917)	(96, 0.18846770650174177)	(98, 0.19299158784947132)	(100, 0.19760684190372957)	(102, 0.20214595203588057)	(104, 0.20667356288183575)	(106, 0.21130808601025994)	(108, 0.2159634321704441)	(110, 0.22048234085387272)	(112, 0.22495525239251818)	(114, 0.22914285731690037)	(116, 0.23310793551381803)	(118, 0.23659874585303886)	(120, 0.2393265630135927)	(122, 0.24095728611276396)	(124, 0.24117421859289004)
555_R1 - polya	(1, 0.0038101923800770814)	(2, 0.004776463224602342)	(3, 0.005768286775104275)	(4, 0.0067061657240999)	(5, 0.0076440446730955255)	(6, 0.00851662226237299)	(7, 0.009346612008356)	(8, 0.010186065719515556)	(9, 0.010994288345592513)	(10, 0.012285173195673273)	(12, 0.014083326579216852)	(14, 0.015766965984124234)	(16, 0.017484202465408355)	(18, 0.0192071173257984)	(20, 0.02090069389414116)	(22, 0.022513353560224453)	(24, 0.024222545671108507)	(26, 0.02591706863596892)	(28, 0.02759408326525272)	(30, 0.0292602143345835)	(32, 0.030906944275302356)	(34, 0.032596262059315664)	(36, 0.03430119538587028)	(38, 0.03598578118729531)	(40, 0.03767651856608511)	(42, 0.03931473093814508)	(44, 0.04101682507514672)	(46, 0.04273879353901912)	(48, 0.04440871019442051)	(50, 0.0460526009455864)	(52, 0.04771541962710539)	(54, 0.04936167636956541)	(56, 0.05107370767000244)	(58, 0.05279189054780421)	(60, 0.05445045044499375)	(62, 0.05609434119615964)	(64, 0.05783381799560865)	(66, 0.05949994906493942)	(68, 0.061150937789987724)	(70, 0.06281139048021257)	(72, 0.06446474519655501)	(74, 0.06619570442734513)	(76, 0.06797161749272382)	(78, 0.0696155082438897)	(80, 0.0713407890955739)	(82, 0.07303531206043432)	(84, 0.07472226385315348)	(86, 0.07648208817773205)	(88, 0.07821020821896921)	(90, 0.07997145213832427)	(92, 0.08168868861960837)	(94, 0.08339788073049242)	(96, 0.08502662913737585)	(98, 0.08676894512637781)	(100, 0.08847151246163829)	(102, 0.0902024716924284)	(104, 0.09189604826077116)	(106, 0.09364451582713787)	(108, 0.09534187798155125)	(110, 0.09702504418819981)	(112, 0.09860221398487107)	(114, 0.1001443671103891)	(116, 0.10156727427468265)	(118, 0.1027242440175153)	(120, 0.10367915810382872)	(122, 0.10421434533456234)	(124, 0.10428532507338642)
555_R2 - polya	(1, 0.003068217510235941)	(2, 0.003921867169160314)	(3, 0.004753749708178634)	(4, 0.005587525040232262)	(5, 0.0064222467688035455)	(6, 0.007273057238174956)	(7, 0.007982854626415842)	(8, 0.008769310132586744)	(9, 0.009507499416357267)	(10, 0.010739707682343447)	(12, 0.012379339649179897)	(14, 0.014028435581192891)	(16, 0.015594721817911114)	(18, 0.017145865710346868)	(20, 0.018732026273935835)	(22, 0.02030966926886591)	(24, 0.021920909340172726)	(26, 0.023602182753785974)	(28, 0.025278724184810947)	(30, 0.02685258159367041)	(32, 0.028515873473448222)	(34, 0.03013799710470806)	(36, 0.031843876827780324)	(38, 0.033544078171746664)	(40, 0.03524806510178362)	(42, 0.036951578833561746)	(44, 0.03868348446086951)	(46, 0.04042911283768327)	(48, 0.042217802256050305)	(50, 0.044002232890087895)	(52, 0.045716630181819054)	(54, 0.04751241757406849)	(56, 0.04933044528448281)	(58, 0.05115178538270893)	(60, 0.0529948926008411)	(62, 0.05484604418937333)	(64, 0.05672984645776465)	(66, 0.05860938994182652)	(68, 0.06052820888137105)	(70, 0.06244844741569206)	(72, 0.06439187266469562)	(74, 0.0663845105326172)	(76, 0.06838897835700947)	(78, 0.07034659955377784)	(80, 0.07239034283365275)	(82, 0.0744397644926336)	(84, 0.07645464267872007)	(86, 0.07855091096532482)	(88, 0.08067036596661212)	(90, 0.08271600203952234)	(92, 0.0847895568097034)	(94, 0.08692273456049668)	(96, 0.08901616365754847)	(98, 0.09116164456307124)	(100, 0.09330854506337052)	(102, 0.09543746402983436)	(104, 0.09754603547116861)	(106, 0.09969814115231498)	(108, 0.10194157409741503)	(110, 0.1041234912688675)	(112, 0.10630067645773172)	(114, 0.10830419788560633)	(116, 0.1102201776355979)	(118, 0.11192369136737602)	(120, 0.11327136000851606)	(122, 0.1140601815059811)	(124, 0.11416665111421723)
556_R1 - polya	(1, 0.007410763516683815)	(2, 0.009398269565167584)	(3, 0.011223901627051952)	(4, 0.013107003743350307)	(5, 0.014994895030849829)	(6, 0.016722828000230415)	(7, 0.01846417064897427)	(8, 0.02015379024874553)	(9, 0.021862566533321453)	(10, 0.024520077632848303)	(12, 0.028176130927818205)	(14, 0.031617150435855765)	(16, 0.035158263621997685)	(18, 0.03870416597934078)	(20, 0.04207095333376027)	(22, 0.04549473182547363)	(24, 0.04892952541094968)	(26, 0.052425620387800645)	(28, 0.05574068469324755)	(30, 0.05908448402590145)	(32, 0.06244744004336001)	(34, 0.06581566414913985)	(36, 0.06925955715989811)	(38, 0.07271829660137999)	(40, 0.07610759306044496)	(42, 0.07947390149774433)	(44, 0.08290677941473991)	(46, 0.08635210917685851)	(48, 0.08973134837640104)	(50, 0.09305742777561063)	(52, 0.09640170602538464)	(54, 0.09967797804410211)	(56, 0.10305051240396298)	(58, 0.10648626382367926)	(60, 0.10984107825009584)	(62, 0.11323660063172233)	(64, 0.1166895930677628)	(66, 0.12006595876458463)	(68, 0.12346531248317205)	(70, 0.12686322945039913)	(72, 0.13019122451808918)	(74, 0.13358435231411508)	(76, 0.13731846909966397)	(78, 0.14073362708321524)	(80, 0.14420433945270003)	(82, 0.1476606843085813)	(84, 0.15119078240096057)	(86, 0.15488083881145875)	(88, 0.1585297083496269)	(90, 0.16199467371367027)	(92, 0.16564593783743903)	(94, 0.16932689482265498)	(96, 0.17289913762160447)	(98, 0.17648383226567702)	(100, 0.18016335249953264)	(102, 0.18377247191673113)	(104, 0.18738877509073132)	(106, 0.19121628071470295)	(108, 0.19476409874052653)	(110, 0.19818739831511978)	(112, 0.20156472184618182)	(114, 0.20480268049528993)	(116, 0.2078126745952226)	(118, 0.21038541736448882)	(120, 0.21248163759923905)	(122, 0.2136501953723235)	(124, 0.21380488560212113)
556_R2 - polya	(1, 0.006402164061718317)	(2, 0.008169368234948463)	(3, 0.009909753049452082)	(4, 0.01165971620635803)	(5, 0.013377112999096054)	(6, 0.015102172465755941)	(7, 0.016787002894326036)	(8, 0.01838275473855445)	(9, 0.02000819944423009)	(10, 0.022571842788214093)	(12, 0.026022440638653988)	(14, 0.029340857363941705)	(16, 0.03264634332698628)	(18, 0.036029413863489734)	(20, 0.03941535790271389)	(22, 0.04274095838480335)	(24, 0.046190119483882894)	(26, 0.04970680789689888)	(28, 0.05315501116173819)	(30, 0.056635780790745424)	(32, 0.06006386953653983)	(34, 0.06361408214796396)	(36, 0.06717387310179043)	(38, 0.07068577234360526)	(40, 0.07416031605005097)	(42, 0.07764156459617833)	(44, 0.0812535575160975)	(46, 0.08492589399315137)	(48, 0.0885943991332443)	(50, 0.09223800058309117)	(52, 0.0957882131945153)	(54, 0.09945911292020883)	(56, 0.1032037658824003)	(58, 0.10699343705388271)	(60, 0.11072659600519139)	(62, 0.11451961959651463)	(64, 0.11845105023555155)	(66, 0.12227807694240306)	(68, 0.12614676943870473)	(70, 0.13004132345949268)	(72, 0.13395359741372495)	(74, 0.13791041066012805)	(76, 0.1421052457152291)	(78, 0.14614730620901295)	(80, 0.1503038278945047)	(82, 0.15443257238702962)	(84, 0.15860681400596566)	(86, 0.1629084475788527)	(88, 0.16710040913123303)	(90, 0.17134936182090726)	(92, 0.17581239046327357)	(94, 0.18044543468328128)	(96, 0.1848270474152278)	(98, 0.18930540140543783)	(100, 0.19386948156014877)	(102, 0.1984690015817483)	(104, 0.20302446122829715)	(106, 0.207732216519043)	(108, 0.21232982087216212)	(110, 0.2168824070159902)	(112, 0.22139763762444925)	(114, 0.22565856324212638)	(116, 0.22969439781334872)	(118, 0.23310332987433846)	(120, 0.2358034645975557)	(122, 0.2374571654133182)	(124, 0.23768177754265288)
559_R1 - polya	(1, 0.007963147396695009)	(2, 0.010117455326644334)	(3, 0.012174089590895498)	(4, 0.014272427218029023)	(5, 0.01630381997316718)	(6, 0.018285827166997275)	(7, 0.020276614016171028)	(8, 0.02212802383676426)	(9, 0.02403375777479635)	(10, 0.026975765407609216)	(12, 0.030993555184249295)	(14, 0.03481764381486999)	(16, 0.03873913174695936)	(18, 0.04259614408511876)	(20, 0.04636426241292366)	(22, 0.05015350678639921)	(24, 0.05406045341432565)	(26, 0.057925696679369726)	(28, 0.06172344634395946)	(30, 0.06545589732193076)	(32, 0.06918340974377124)	(34, 0.07289473467607188)	(36, 0.07683268446193059)	(38, 0.08076871369818289)	(40, 0.08451652907300558)	(42, 0.08824705950137045)	(44, 0.09207471486697451)	(46, 0.09602802904968462)	(48, 0.09990616743351469)	(50, 0.10375412575210094)	(52, 0.10746764559823749)	(54, 0.11121354042345374)	(56, 0.11502308774991152)	(58, 0.11884196346017192)	(60, 0.12262626927751667)	(62, 0.12644322443817066)	(64, 0.1303830947736358)	(66, 0.13425711769402354)	(68, 0.13809080907267635)	(70, 0.14193931611972158)	(72, 0.14577739732604622)	(74, 0.14969257488085733)	(76, 0.15395784119249667)	(78, 0.15780717133223038)	(80, 0.1615725460177404)	(82, 0.16544327656737423)	(84, 0.16929919144861572)	(86, 0.17317925038205217)	(88, 0.17700471083382033)	(90, 0.1809130292828942)	(92, 0.18499886138844762)	(94, 0.18909374751357416)	(96, 0.19285473237141232)	(98, 0.1968278007786457)	(100, 0.200763281286439)	(102, 0.20467708702010268)	(104, 0.20855001248357244)	(106, 0.21257932555785108)	(108, 0.21651370860872643)	(110, 0.22027277291695818)	(112, 0.2240707969457774)	(114, 0.2275944567451074)	(116, 0.23090328935274734)	(118, 0.23374954386946847)	(120, 0.2360031716504929)	(122, 0.23733685617003997)	(124, 0.2375044927142579)
559_R2 - polya	(1, 0.007746399655398528)	(2, 0.009979724483440746)	(3, 0.012143909525651683)	(4, 0.014258160278095584)	(5, 0.01631698945618266)	(6, 0.018416424540234143)	(7, 0.02044452492461843)	(8, 0.022451224899102555)	(9, 0.02437781051857583)	(10, 0.027462487550723086)	(12, 0.03180238093278351)	(14, 0.03592195983856409)	(16, 0.04010052705368485)	(18, 0.04417730513966511)	(20, 0.04824393174915427)	(22, 0.05234759752962448)	(24, 0.05655360116769416)	(26, 0.060818044386645044)	(28, 0.0649691751788169)	(30, 0.06906598185354987)	(32, 0.07309502056359901)	(34, 0.07721844056859242)	(36, 0.08136902263230529)	(38, 0.08556569788657234)	(40, 0.08970996957300695)	(42, 0.09393627616405884)	(44, 0.09819331154881351)	(46, 0.10247064988655039)	(48, 0.10679188650100555)	(50, 0.1110851379640528)	(52, 0.11538799217513218)	(54, 0.11976904019161597)	(56, 0.12414240600967408)	(58, 0.1285149487350437)	(60, 0.13289736857267498)	(62, 0.1372822576883716)	(64, 0.14184630664592474)	(66, 0.14633545416882726)	(68, 0.15073351276753943)	(70, 0.15532746742610687)	(72, 0.15982018168399276)	(74, 0.16446297317540928)	(76, 0.16936339267831618)	(78, 0.17397627846871838)	(80, 0.17861714941052845)	(82, 0.18333154996584167)	(84, 0.18807613058639866)	(86, 0.1930209970944828)	(88, 0.19789123653214588)	(90, 0.20263526842424393)	(92, 0.20769811155100842)	(94, 0.21280046312681938)	(96, 0.21761253734783076)	(98, 0.22263230529056544)	(100, 0.22759527983779587)	(102, 0.2325966653771548)	(104, 0.2375851557977277)	(106, 0.2426924459296695)	(108, 0.24771852424968244)	(110, 0.25270372229950144)	(112, 0.25769852309735264)	(114, 0.26229878813319835)	(116, 0.26668175669928856)	(118, 0.27048362182732066)	(120, 0.27347474065721206)	(122, 0.27522298952751734)	(124, 0.2754545529372063)
561_R2 - polya	(1, 0.0033434577331758614)	(2, 0.00422341741973902)	(3, 0.005096244050626279)	(4, 0.00596064070662384)	(5, 0.006905446353876988)	(6, 0.007767249171446949)	(7, 0.008632294287051409)	(8, 0.009455837987814276)	(9, 0.010229450298845852)	(10, 0.011445960521390056)	(12, 0.013192586472574925)	(14, 0.014879554139925002)	(16, 0.016635258525606468)	(18, 0.018324820031384147)	(20, 0.019966719756054685)	(22, 0.021581384177235423)	(24, 0.023300774824930495)	(26, 0.025038322341618766)	(28, 0.026806023230027884)	(30, 0.028452786401750165)	(32, 0.030031137084944513)	(34, 0.031674657958632293)	(36, 0.03341415085414126)	(38, 0.03512640844616044)	(40, 0.03682893914407612)	(42, 0.03851234028358824)	(44, 0.040237891297548865)	(46, 0.04202893673180638)	(48, 0.04375092121792905)	(50, 0.045454748835058525)	(52, 0.047124208093022306)	(54, 0.04885559524344503)	(56, 0.050534132935905404)	(58, 0.05227070776318333)	(60, 0.054056241290782195)	(62, 0.055854419780715606)	(64, 0.05768826354902851)	(66, 0.059430674512768525)	(68, 0.0611584951353533)	(70, 0.06292652025356586)	(72, 0.06469357268236808)	(74, 0.06651736532677403)	(76, 0.06846047453884957)	(78, 0.07032252630006262)	(80, 0.07214307664643407)	(82, 0.07400156187980918)	(84, 0.07587593437355333)	(86, 0.07775127955670783)	(88, 0.07964705121747967)	(90, 0.08154768632530326)	(92, 0.08353489079064799)	(94, 0.08557397202454473)	(96, 0.08745839564219582)	(98, 0.08941123174837484)	(100, 0.09144220723718532)	(102, 0.09349620304204073)	(104, 0.09548502865640272)	(106, 0.0975412940698823)	(108, 0.09952817430542357)	(110, 0.1015140818515545)	(112, 0.10347405101340944)	(114, 0.10534096622167423)	(116, 0.1070370123235209)	(118, 0.10856737699580465)	(120, 0.10979653218068341)	(122, 0.11050756813964915)	(124, 0.11059673133559789)
562_R1 - polya	(1, 0.004344034798760966)	(2, 0.005415835288589169)	(3, 0.00653644515817873)	(4, 0.007609582891288065)	(5, 0.00870612238181723)	(6, 0.009732456600086906)	(7, 0.010734720439296186)	(8, 0.011707564926320536)	(9, 0.012696456332718485)	(10, 0.01424732422801263)	(12, 0.016330749260018044)	(14, 0.018312209491837057)	(16, 0.02034481927915941)	(18, 0.022396484783237913)	(20, 0.024399006596734774)	(22, 0.026366091463281602)	(24, 0.028431129400171437)	(26, 0.03046273625503294)	(28, 0.032410431094003336)	(30, 0.03436347490609827)	(32, 0.036378031909125336)	(34, 0.03835614903274151)	(36, 0.040388424509243584)	(38, 0.042428389134612166)	(40, 0.04442890508318733)	(42, 0.046402341855319544)	(44, 0.048398177452410734)	(46, 0.050450511578129804)	(48, 0.05252257004224559)	(50, 0.054555179829567944)	(52, 0.056526610736778456)	(54, 0.058502053373832366)	(56, 0.060492539997799036)	(58, 0.06251512046051289)	(60, 0.06453937247732816)	(62, 0.06652484443899057)	(64, 0.06860927240345684)	(66, 0.07063084993370985)	(68, 0.07264908435576001)	(70, 0.07471779971167297)	(72, 0.07678450920266422)	(74, 0.0788585735317017)	(76, 0.08098880207854678)	(78, 0.08305751743445972)	(80, 0.0850958105057269)	(82, 0.08709164610281808)	(84, 0.08910419724092344)	(86, 0.09119297124605338)	(88, 0.09324998572325642)	(90, 0.09523779786066082)	(92, 0.09729915837852753)	(94, 0.09935717578819142)	(96, 0.10136003191250856)	(98, 0.10337425460471533)	(100, 0.10536975589098624)	(102, 0.10740303429994916)	(104, 0.1093861660858696)	(106, 0.11144819522537688)	(108, 0.11341628302438456)	(110, 0.11530915088882851)	(112, 0.11718998356374224)	(114, 0.11898422973620262)	(116, 0.12063505656676146)	(118, 0.12211906229799896)	(120, 0.12332057538609707)	(122, 0.12397950201287541)	(124, 0.12406341402876653)
562_R2 - polya	(1, 0.004010392600118251)	(2, 0.00504207579151246)	(3, 0.006093149010483098)	(4, 0.007091401119848978)	(5, 0.008141137095538483)	(6, 0.009191541692868555)	(7, 0.01016171169333064)	(8, 0.011105805449810628)	(9, 0.012079987180116112)	(10, 0.013529558896864424)	(12, 0.015605294780003321)	(14, 0.017591101052486017)	(16, 0.019599306149927692)	(18, 0.021568731192216507)	(20, 0.023508068260679825)	(22, 0.02540795665234972)	(24, 0.02748101804892635)	(26, 0.029576143959641678)	(28, 0.031636501545047546)	(30, 0.03365975062940196)	(32, 0.03563920499629927)	(34, 0.03769688809514288)	(36, 0.03987926912995214)	(38, 0.042019861312226)	(40, 0.04410228341177057)	(42, 0.04618972017361937)	(44, 0.048343016167064)	(46, 0.05051102183660108)	(48, 0.052744552426913685)	(50, 0.054909549299068224)	(52, 0.057172499241565755)	(54, 0.05938697411512221)	(56, 0.061614487110669726)	(58, 0.06385771271477056)	(60, 0.06605814653387511)	(62, 0.06834449823379248)	(64, 0.07070473262499244)	(66, 0.07303621628564805)	(68, 0.07528412224123285)	(70, 0.07760992261794364)	(72, 0.07999991067214882)	(74, 0.08246578728255831)	(76, 0.08500019761112587)	(78, 0.08742361674735938)	(80, 0.08990386872304104)	(82, 0.09232026733204862)	(84, 0.09477778617195101)	(86, 0.09726639591813976)	(88, 0.09979579158440308)	(90, 0.10231616085851875)	(92, 0.10488901693141889)	(94, 0.10747557974795063)	(96, 0.10991738597929973)	(98, 0.11246282856493664)	(100, 0.11505206586803066)	(102, 0.11764698645506949)	(104, 0.1202967340166348)	(106, 0.12297824110612698)	(108, 0.12566910889858712)	(110, 0.12827606467515618)	(112, 0.1308408972883695)	(114, 0.13327601730331293)	(116, 0.13552124877233546)	(118, 0.13748866794970255)	(120, 0.13907764727850902)	(122, 0.1399756061417899)	(124, 0.14009228061806878)
