Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
547	1.83841	90.9238	30251.973414	244.927122	43.2295	99.58831682967511	0.9274488005010856	150.0	150.0						
547_R1										15.893358083987948	43.0	136.34474705908642	136	10.0	122.463561
547_R2										15.56622883428794	43.0	136.33158652392936	136	10.0	122.463561
548	1.3824100000000001	87.14450000000001	22998.591075	194.279034	38.568799999999996	99.34099490674939	0.3134983811959754	150.0	150.0						
548_R1										11.349009773770362	38.0	136.3458733122999	136	0.0	97.139517
548_R2										10.841385455581161	38.0	136.32855904049842	136	0.0	97.139517
549	2.09716	88.8259	34265.921251	283.747192	54.28849999999999	99.41001055084355	0.21267681572280503	150.0	150.0						
549_R1										5.221080028772477	54.0	136.45775319602106	136	10.0	141.873596
549_R2										5.104576931078213	54.0	136.44618537758075	136	10.0	141.873596
550	2.13257	91.1383	31147.064041999998	251.57602999999997	43.5766	99.70500122756636	1.3926810475691596	150.0	150.0						
550_R1										15.345190380858057	43.0	136.34465823711423	136	10.0	125.78801499999999
550_R2										15.28019968746736	43.0	136.33598450138513	136	10.0	125.78801499999999
551	1.58376	90.4793	24748.037914999997	201.34214599999999	43.9625	99.65076969574689	1.1734898835155598	150.0	150.0						
551_R1										15.048406375951217	43.0	136.3479465893842	136	10.0	100.67107299999999
551_R2										15.020347978205322	43.0	136.3398925578155	136	10.0	100.67107299999999
552	2.3512	93.1542	32051.630229	253.44479199999998	42.9011	99.80166448103947	2.7885677842774252	150.0	150.0						
552_R1										17.192390303299092	42.0	136.25127219027647	136	10.0	126.72239599999999
552_R2										17.7732771519899	42.0	136.24510216804927	136	10.0	126.72239599999999
553	2.11102	90.18599999999999	26129.226321	213.443402	53.16380000000001	99.6129084660354	2.676860567401652	150.0	150.0						
553_R1										4.681536045496387	53.0	136.23315901327322	136	0.0	106.721701
553_R2										4.661680614486571	53.0	136.22693744827023	136	0.0	106.721701
554	2.22044	90.1934	39436.469808999995	321.759102	44.4745	99.57214063499958	0.4683190154966509	150.0	150.0						
554_R1										12.781241123887597	44.0	136.39280661281805	136	10.0	160.879551
554_R2										12.47020476382292	44.0	136.38282356655756	136	10.0	160.879551
555	1.61596	88.96889999999999	25523.564049	211.327912	54.228699999999996	99.36414313291162	2.302844720130906	150.0	150.0						
555_R1										2.770306263818796	54.0	136.24926541648696	136	10.0	105.663956
555_R2										2.753335341339138	54.0	136.23790907468958	136	10.0	105.663956
556	1.53621	89.6385	25415.381256	208.804396	48.2998	99.40919900220022	1.6517714227288804	150.0	150.0						
556_R1										7.78283856858053	48.0	136.2818200915655	136	10.0	104.402198
556_R2										7.750439005794348	48.0	136.28032278592448	136	10.0	104.402198
557	1.81634	87.7936	28947.034914	242.69508199999999	61.3851	99.10468070724102	1.388638660719819	150.0	150.0						
557_R1										2.159140864243298	61.0	136.3528219043186	136	10.0	121.34754099999999
557_R2										2.052019186706346	61.0	136.35016945666825	136	10.0	121.34754099999999
558	1.85713	89.7941	31237.898847	256.049586	61.3895	99.51182811044048	1.5435558981830484	150.0	150.0						
558_R1										1.3310537205229735	61.0	136.360290826637	136	10.0	128.024793
558_R2										1.294225079613824	61.0	136.36122177131736	136	10.0	128.024793
559	2.67948	91.8759	45461.905332999995	364.479	42.206900000000005	99.71779851256575	2.2813923396274967	150.0	150.0						
559_R1										16.156156493919454	42.0	136.25512517319243	136	10.0	182.2395
559_R2										16.544156916831483	42.0	136.247525986408	136	10.0	182.2395
560	2.6169499999999997	91.1512	43417.093863999995	350.88306	55.613800000000005	99.5611623532678	2.9111886254611252	150.0	150.0						
560_R1										5.106797220840804	55.0	136.2448298245005	136	10.0	175.44153
560_R2										5.016143319516971	55.0	136.2343394007109	136	10.0	175.44153
561	2.43242	93.33500000000001	39048.248431	308.42321999999996	49.5159	99.79840621777768	4.5471914141210155	150.0	150.0						
561_R1										9.752553009957936	49.0	136.13688436947126	136	0.0	154.21160999999998
561_R2										9.939966506585534	49.0	136.13016674295793	136	0.0	154.21160999999998
562	2.21401	90.6813	36819.888331999995	299.122834	50.877700000000004	99.54474683666551	2.9997990487749595	150.0	150.0						
562_R1										4.981711701993461	50.0	136.23798889589284	136	0.0	149.561417
562_R2										4.8559313814485705	50.0	136.22674357585151	136	0.0	149.561417
563	1.5318999999999998	89.5985	25667.85346	210.76617199999998	55.5256	99.4361302403054	0.5381329930901839	150.0	150.0						
563_R1										3.698894474500378	55.0	136.42550692622532	136	0.0	105.38308599999999
563_R2										3.556437839686893	55.0	136.41157835328528	136	0.0	105.38308599999999
564	2.06618	89.1493	36681.030870999995	302.799684	53.4664	99.42847154591583	1.0801043033337554	150.0	150.0						
564_R1										3.806637645614458	53.0	136.3854583216804	136	0.0	151.399842
564_R2										3.6390745181341373	53.0	136.37440434713267	136	0.0	151.399842
