Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43
552_R1	(50, 1925.0)	(52, 1749.0)	(54, 1713.0)	(56, 1689.0)	(58, 1705.0)	(60, 1823.0)	(62, 1822.0)	(64, 2073.0)	(66, 2273.0)	(68, 2608.0)	(70, 2923.0)	(72, 2982.0)	(74, 3534.0)	(76, 4094.0)	(78, 4625.0)	(80, 5583.0)	(82, 6109.0)	(84, 6912.0)	(86, 8212.0)	(88, 9594.0)	(90, 11030.0)	(92, 12384.0)	(94, 14168.0)	(96, 16303.0)	(98, 18812.0)	(100, 21867.0)	(102, 24836.0)	(104, 28389.0)	(106, 32146.0)	(108, 37470.0)	(110, 43327.0)	(112, 49639.0)	(114, 58559.0)	(116, 69348.0)	(118, 79899.0)	(120, 90317.0)	(122, 113872.0)	(124, 163393.0)	(126, 379038.0)	(128, 197579.0)	(130, 282996.0)	(132, 158684.0)	(134, 173246.0)	(136, 124571146.0)
552_R2	(50, 1923.0)	(52, 1737.0)	(54, 1703.0)	(56, 1699.0)	(58, 1722.0)	(60, 1819.0)	(62, 1834.0)	(64, 2088.0)	(66, 2290.0)	(68, 2616.0)	(70, 2947.0)	(72, 2994.0)	(74, 3562.0)	(76, 4121.0)	(78, 4626.0)	(80, 5596.0)	(82, 6142.0)	(84, 6953.0)	(86, 8240.0)	(88, 9670.0)	(90, 11113.0)	(92, 12465.0)	(94, 14223.0)	(96, 16375.0)	(98, 19002.0)	(100, 21995.0)	(102, 25052.0)	(104, 28558.0)	(106, 32502.0)	(108, 37845.0)	(110, 43848.0)	(112, 50187.0)	(114, 59813.0)	(116, 70742.0)	(118, 81562.0)	(120, 92020.0)	(122, 119467.0)	(124, 176090.0)	(126, 410459.0)	(128, 202636.0)	(130, 280056.0)	(132, 158291.0)	(134, 172782.0)	(136, 124511031.0)
553_R1	(50, 1401.0)	(52, 1261.0)	(54, 1335.0)	(56, 1426.0)	(58, 1437.0)	(60, 1693.0)	(62, 1804.0)	(64, 2067.0)	(66, 2254.0)	(68, 2657.0)	(70, 3215.0)	(72, 3550.0)	(74, 4027.0)	(76, 4773.0)	(78, 5382.0)	(80, 6253.0)	(82, 7155.0)	(84, 8030.0)	(86, 9235.0)	(88, 10979.0)	(90, 12387.0)	(92, 14320.0)	(94, 16014.0)	(96, 18323.0)	(98, 20593.0)	(100, 23692.0)	(102, 26745.0)	(104, 29440.0)	(106, 33275.0)	(108, 37539.0)	(110, 41833.0)	(112, 46813.0)	(114, 52628.0)	(116, 60441.0)	(118, 70143.0)	(120, 77934.0)	(122, 90905.0)	(124, 116580.0)	(126, 225366.0)	(128, 165145.0)	(130, 249571.0)	(132, 124109.0)	(134, 133285.0)	(136, 104954686.0)
553_R2	(50, 1398.0)	(52, 1251.0)	(54, 1330.0)	(56, 1428.0)	(58, 1454.0)	(60, 1709.0)	(62, 1830.0)	(64, 2094.0)	(66, 2277.0)	(68, 2682.0)	(70, 3246.0)	(72, 3587.0)	(74, 4053.0)	(76, 4827.0)	(78, 5412.0)	(80, 6312.0)	(82, 7227.0)	(84, 8070.0)	(86, 9302.0)	(88, 11090.0)	(90, 12498.0)	(92, 14436.0)	(94, 16183.0)	(96, 18428.0)	(98, 20796.0)	(100, 23927.0)	(102, 27006.0)	(104, 29679.0)	(106, 33670.0)	(108, 38005.0)	(110, 42253.0)	(112, 47142.0)	(114, 53556.0)	(116, 61670.0)	(118, 71466.0)	(120, 79061.0)	(122, 95676.0)	(124, 127505.0)	(126, 250311.0)	(128, 167200.0)	(130, 246125.0)	(132, 123913.0)	(134, 133067.0)	(136, 104907549.0)
554_R1	(50, 7686.0)	(52, 6698.0)	(54, 5767.0)	(56, 4980.0)	(58, 4235.0)	(60, 3927.0)	(62, 3507.0)	(64, 3256.0)	(66, 3181.0)	(68, 3198.0)	(70, 3216.0)	(72, 3307.0)	(74, 3235.0)	(76, 3432.0)	(78, 3594.0)	(80, 3719.0)	(82, 3775.0)	(84, 3927.0)	(86, 4134.0)	(88, 4298.0)	(90, 4680.0)	(92, 5016.0)	(94, 5065.0)	(96, 5447.0)	(98, 6153.0)	(100, 6680.0)	(102, 7298.0)	(104, 8053.0)	(106, 8757.0)	(108, 10197.0)	(110, 11672.0)	(112, 11969.0)	(114, 15303.0)	(116, 18928.0)	(118, 23123.0)	(120, 24537.0)	(122, 50815.0)	(124, 115102.0)	(126, 408592.0)	(128, 61403.0)	(130, 26529.0)	(132, 29173.0)	(134, 31961.0)	(136, 159900026.0)
554_R2	(50, 7694.0)	(52, 6711.0)	(54, 5786.0)	(56, 5018.0)	(58, 4272.0)	(60, 3960.0)	(62, 3502.0)	(64, 3278.0)	(66, 3185.0)	(68, 3231.0)	(70, 3231.0)	(72, 3322.0)	(74, 3272.0)	(76, 3450.0)	(78, 3626.0)	(80, 3736.0)	(82, 3844.0)	(84, 3981.0)	(86, 4203.0)	(88, 4385.0)	(90, 4787.0)	(92, 5144.0)	(94, 5208.0)	(96, 5545.0)	(98, 6398.0)	(100, 6984.0)	(102, 7638.0)	(104, 8306.0)	(106, 9438.0)	(108, 11002.0)	(110, 12491.0)	(112, 12576.0)	(114, 16998.0)	(116, 21336.0)	(118, 26276.0)	(120, 27745.0)	(122, 61976.0)	(124, 142127.0)	(126, 477508.0)	(128, 69838.0)	(130, 26331.0)	(132, 29086.0)	(134, 31888.0)	(136, 159769238.0)
555_R1	(50, 2828.0)	(52, 2549.0)	(54, 2389.0)	(56, 2265.0)	(58, 2147.0)	(60, 2380.0)	(62, 2327.0)	(64, 2353.0)	(66, 2611.0)	(68, 2854.0)	(70, 3325.0)	(72, 3671.0)	(74, 4095.0)	(76, 4650.0)	(78, 5302.0)	(80, 6191.0)	(82, 6953.0)	(84, 7633.0)	(86, 8630.0)	(88, 10027.0)	(90, 11194.0)	(92, 12721.0)	(94, 14292.0)	(96, 15868.0)	(98, 17914.0)	(100, 20430.0)	(102, 22706.0)	(104, 24975.0)	(106, 28388.0)	(108, 32224.0)	(110, 36722.0)	(112, 41119.0)	(114, 46275.0)	(116, 52664.0)	(118, 59176.0)	(120, 65822.0)	(122, 80702.0)	(124, 111999.0)	(126, 257923.0)	(128, 144992.0)	(130, 204144.0)	(132, 104555.0)	(134, 113705.0)	(136, 104058266.0)
555_R2	(50, 2825.0)	(52, 2554.0)	(54, 2395.0)	(56, 2271.0)	(58, 2162.0)	(60, 2388.0)	(62, 2350.0)	(64, 2386.0)	(66, 2638.0)	(68, 2881.0)	(70, 3368.0)	(72, 3702.0)	(74, 4142.0)	(76, 4679.0)	(78, 5375.0)	(80, 6262.0)	(82, 7017.0)	(84, 7671.0)	(86, 8719.0)	(88, 10119.0)	(90, 11326.0)	(92, 12834.0)	(94, 14429.0)	(96, 15919.0)	(98, 18127.0)	(100, 20701.0)	(102, 22992.0)	(104, 25208.0)	(106, 28814.0)	(108, 32737.0)	(110, 37317.0)	(112, 41540.0)	(114, 47453.0)	(116, 54285.0)	(118, 61148.0)	(120, 67579.0)	(122, 88699.0)	(124, 133407.0)	(126, 313722.0)	(128, 149597.0)	(130, 198497.0)	(132, 104371.0)	(134, 113535.0)	(136, 103963815.0)
556_R1	(50, 5244.0)	(52, 4621.0)	(54, 3986.0)	(56, 3517.0)	(58, 3239.0)	(60, 3106.0)	(62, 2948.0)	(64, 2885.0)	(66, 2940.0)	(68, 3089.0)	(70, 3275.0)	(72, 3569.0)	(74, 3831.0)	(76, 4097.0)	(78, 4471.0)	(80, 4897.0)	(82, 5506.0)	(84, 6049.0)	(86, 6535.0)	(88, 7454.0)	(90, 8214.0)	(92, 9084.0)	(94, 9922.0)	(96, 10937.0)	(98, 12630.0)	(100, 14121.0)	(102, 15598.0)	(104, 17281.0)	(106, 19773.0)	(108, 22225.0)	(110, 25229.0)	(112, 27588.0)	(114, 32247.0)	(116, 37574.0)	(118, 43629.0)	(120, 47232.0)	(122, 68566.0)	(124, 114332.0)	(126, 318705.0)	(128, 123135.0)	(130, 174186.0)	(132, 73803.0)	(134, 79787.0)	(136, 103011141.0)
556_R2	(50, 5033.0)	(52, 4360.0)	(54, 3826.0)	(56, 3526.0)	(58, 3244.0)	(60, 3128.0)	(62, 2972.0)	(64, 2904.0)	(66, 2953.0)	(68, 3132.0)	(70, 3290.0)	(72, 3599.0)	(74, 3862.0)	(76, 4128.0)	(78, 4491.0)	(80, 4945.0)	(82, 5542.0)	(84, 6100.0)	(86, 6570.0)	(88, 7492.0)	(90, 8308.0)	(92, 9207.0)	(94, 10061.0)	(96, 11043.0)	(98, 12821.0)	(100, 14348.0)	(102, 15839.0)	(104, 17529.0)	(106, 20278.0)	(108, 22923.0)	(110, 25873.0)	(112, 28125.0)	(114, 33577.0)	(116, 39527.0)	(118, 45748.0)	(120, 49322.0)	(122, 76793.0)	(124, 136291.0)	(126, 362166.0)	(128, 92255.0)	(130, 67533.0)	(132, 73641.0)	(134, 79662.0)	(136, 103064231.0)
