Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
553_R1	(21.0, 12.0)	(22.0, 781.0)	(23.0, 13282.0)	(24.0, 83336.0)	(25.0, 279870.0)	(26.0, 643164.0)	(27.0, 1154695.0)	(28.0, 1772236.0)	(29.0, 2447752.0)	(30.0, 3231626.0)	(31.0, 4281476.0)	(32.0, 5840182.0)	(33.0, 8310416.0)	(34.0, 12470496.0)	(35.0, 20151718.0)	(36.0, 32833605.0)	(37.0, 13140430.0)	(38.0, 66624.0)			
553_R2	(19.0, 1.0)	(20.0, 123.0)	(21.0, 4035.0)	(22.0, 52031.0)	(23.0, 288916.0)	(24.0, 775926.0)	(25.0, 1333252.0)	(26.0, 1868504.0)	(27.0, 2411323.0)	(28.0, 2962164.0)	(29.0, 3539509.0)	(30.0, 4232352.0)	(31.0, 5128343.0)	(32.0, 6351011.0)	(33.0, 8139172.0)	(34.0, 10982949.0)	(35.0, 16163458.0)	(36.0, 29815168.0)	(37.0, 12665624.0)	(38.0, 7840.0)	
554_R1	(21.0, 32.0)	(22.0, 1221.0)	(23.0, 19562.0)	(24.0, 120544.0)	(25.0, 400073.0)	(26.0, 906748.0)	(27.0, 1595680.0)	(28.0, 2413654.0)	(29.0, 3337837.0)	(30.0, 4490304.0)	(31.0, 6152382.0)	(32.0, 8802450.0)	(33.0, 13418843.0)	(34.0, 22209773.0)	(35.0, 40023928.0)	(36.0, 47762256.0)	(37.0, 9146574.0)	(38.0, 77690.0)			
554_R2	(19.0, 1.0)	(20.0, 149.0)	(21.0, 4696.0)	(22.0, 66487.0)	(23.0, 402840.0)	(24.0, 1172389.0)	(25.0, 2108240.0)	(26.0, 3040987.0)	(27.0, 3980298.0)	(28.0, 4927545.0)	(29.0, 5943290.0)	(30.0, 7178406.0)	(31.0, 8788791.0)	(32.0, 11013164.0)	(33.0, 14284559.0)	(34.0, 19506706.0)	(35.0, 29007479.0)	(36.0, 42238211.0)	(37.0, 7206245.0)	(38.0, 9068.0)	
555_R1	(21.0, 20.0)	(22.0, 750.0)	(23.0, 12244.0)	(24.0, 74622.0)	(25.0, 245717.0)	(26.0, 551399.0)	(27.0, 971282.0)	(28.0, 1487234.0)	(29.0, 2084233.0)	(30.0, 2835492.0)	(31.0, 3909970.0)	(32.0, 5575942.0)	(33.0, 8333781.0)	(34.0, 13054414.0)	(35.0, 21357297.0)	(36.0, 30073439.0)	(37.0, 14895422.0)	(38.0, 200698.0)			
555_R2	(19.0, 3.0)	(20.0, 202.0)	(21.0, 6878.0)	(22.0, 89360.0)	(23.0, 493150.0)	(24.0, 1292201.0)	(25.0, 2104557.0)	(26.0, 2760807.0)	(27.0, 3330062.0)	(28.0, 3856898.0)	(29.0, 4399415.0)	(30.0, 5027074.0)	(31.0, 5838004.0)	(32.0, 6919345.0)	(33.0, 8457484.0)	(34.0, 10830441.0)	(35.0, 15054940.0)	(36.0, 24297466.0)	(37.0, 10872313.0)	(38.0, 33356.0)	
556_R1	(21.0, 17.0)	(22.0, 732.0)	(23.0, 11601.0)	(24.0, 71347.0)	(25.0, 235273.0)	(26.0, 531236.0)	(27.0, 941856.0)	(28.0, 1434887.0)	(29.0, 2003993.0)	(30.0, 2717580.0)	(31.0, 3749553.0)	(32.0, 5382640.0)	(33.0, 8203556.0)	(34.0, 13481036.0)	(35.0, 24126894.0)	(36.0, 31366833.0)	(37.0, 10014300.0)	(38.0, 128864.0)			
556_R2	(19.0, 1.0)	(20.0, 132.0)	(21.0, 4499.0)	(22.0, 61357.0)	(23.0, 367013.0)	(24.0, 1027262.0)	(25.0, 1758517.0)	(26.0, 2408624.0)	(27.0, 3008213.0)	(28.0, 3581920.0)	(29.0, 4174392.0)	(30.0, 4881229.0)	(31.0, 5800766.0)	(32.0, 7040143.0)	(33.0, 8844744.0)	(34.0, 11677097.0)	(35.0, 16948641.0)	(36.0, 26099261.0)	(37.0, 6700019.0)	(38.0, 18368.0)	
557_R1	(21.0, 17.0)	(22.0, 931.0)	(23.0, 14586.0)	(24.0, 85166.0)	(25.0, 271188.0)	(26.0, 594266.0)	(27.0, 1036067.0)	(28.0, 1575287.0)	(29.0, 2222922.0)	(30.0, 3045664.0)	(31.0, 4196683.0)	(32.0, 5957044.0)	(33.0, 8853308.0)	(34.0, 13909412.0)	(35.0, 22798887.0)	(36.0, 35249538.0)	(37.0, 21291327.0)	(38.0, 245248.0)			
557_R2	(18.0, 1.0)	(19.0, 4.0)	(20.0, 216.0)	(21.0, 6694.0)	(22.0, 97562.0)	(23.0, 607041.0)	(24.0, 1714469.0)	(25.0, 2878040.0)	(26.0, 3799049.0)	(27.0, 4565636.0)	(28.0, 5260924.0)	(29.0, 5952539.0)	(30.0, 6738940.0)	(31.0, 7699304.0)	(32.0, 8920562.0)	(33.0, 10544776.0)	(34.0, 12811125.0)	(35.0, 16240511.0)	(36.0, 22911425.0)	(37.0, 10582163.0)	(38.0, 16560.0)
558_R1	(21.0, 12.0)	(22.0, 613.0)	(23.0, 10862.0)	(24.0, 69453.0)	(25.0, 237459.0)	(26.0, 557660.0)	(27.0, 1027091.0)	(28.0, 1622688.0)	(29.0, 2319209.0)	(30.0, 3165088.0)	(31.0, 4334230.0)	(32.0, 6096171.0)	(33.0, 8964356.0)	(34.0, 13960096.0)	(35.0, 23217227.0)	(36.0, 38379164.0)	(37.0, 23825957.0)	(38.0, 237457.0)			
558_R2	(20.0, 75.0)	(21.0, 3241.0)	(22.0, 47907.0)	(23.0, 309537.0)	(24.0, 922664.0)	(25.0, 1662524.0)	(26.0, 2369876.0)	(27.0, 3077632.0)	(28.0, 3786559.0)	(29.0, 4533544.0)	(30.0, 5413610.0)	(31.0, 6523693.0)	(32.0, 8028569.0)	(33.0, 10134362.0)	(34.0, 13292049.0)	(35.0, 18610017.0)	(36.0, 30671703.0)	(37.0, 18577965.0)	(38.0, 59266.0)		
559_R1	(21.0, 12.0)	(22.0, 882.0)	(23.0, 17048.0)	(24.0, 117945.0)	(25.0, 420149.0)	(26.0, 1022040.0)	(27.0, 1896756.0)	(28.0, 2941706.0)	(29.0, 4048827.0)	(30.0, 5350084.0)	(31.0, 7175734.0)	(32.0, 10035464.0)	(33.0, 14971123.0)	(34.0, 24558104.0)	(35.0, 45009712.0)	(36.0, 56228343.0)	(37.0, 8380161.0)	(38.0, 65410.0)			
559_R2	(20.0, 51.0)	(21.0, 1742.0)	(22.0, 27110.0)	(23.0, 179982.0)	(24.0, 560373.0)	(25.0, 1073127.0)	(26.0, 1661559.0)	(27.0, 2349962.0)	(28.0, 3122699.0)	(29.0, 4015993.0)	(30.0, 5156169.0)	(31.0, 6757406.0)	(32.0, 9124930.0)	(33.0, 12931287.0)	(34.0, 19754514.0)	(35.0, 35058587.0)	(36.0, 70366887.0)	(37.0, 10083731.0)	(38.0, 13391.0)		
560_R1	(21.0, 20.0)	(22.0, 1135.0)	(23.0, 17389.0)	(24.0, 103465.0)	(25.0, 337110.0)	(26.0, 767048.0)	(27.0, 1391539.0)	(28.0, 2179194.0)	(29.0, 3065098.0)	(30.0, 4088555.0)	(31.0, 5467181.0)	(32.0, 7537456.0)	(33.0, 10938568.0)	(34.0, 17180764.0)	(35.0, 30865403.0)	(36.0, 59540622.0)	(37.0, 31592064.0)	(38.0, 368919.0)			
560_R2	(19.0, 1.0)	(20.0, 95.0)	(21.0, 3199.0)	(22.0, 48177.0)	(23.0, 317344.0)	(24.0, 962300.0)	(25.0, 1747351.0)	(26.0, 2535459.0)	(27.0, 3355695.0)	(28.0, 4208472.0)	(29.0, 5120245.0)	(30.0, 6211056.0)	(31.0, 7644031.0)	(32.0, 9630886.0)	(33.0, 12571051.0)	(34.0, 17346615.0)	(35.0, 26696391.0)	(36.0, 53508166.0)	(37.0, 23492755.0)	(38.0, 42241.0)	
561_R1	(21.0, 10.0)	(22.0, 609.0)	(23.0, 9686.0)	(24.0, 62013.0)	(25.0, 216648.0)	(26.0, 536211.0)	(27.0, 1043043.0)	(28.0, 1721132.0)	(29.0, 2456974.0)	(30.0, 3257595.0)	(31.0, 4299488.0)	(32.0, 5899339.0)	(33.0, 8616493.0)	(34.0, 13965384.0)	(35.0, 27806483.0)	(36.0, 62234745.0)	(37.0, 21944092.0)	(38.0, 141665.0)			
561_R2	(20.0, 31.0)	(21.0, 1178.0)	(22.0, 17586.0)	(23.0, 114486.0)	(24.0, 360026.0)	(25.0, 696484.0)	(26.0, 1109907.0)	(27.0, 1633736.0)	(28.0, 2230989.0)	(29.0, 2884109.0)	(30.0, 3678260.0)	(31.0, 4774623.0)	(32.0, 6401292.0)	(33.0, 8999437.0)	(34.0, 13694124.0)	(35.0, 24309055.0)	(36.0, 60415921.0)	(37.0, 22864237.0)	(38.0, 26129.0)		
562_R1	(21.0, 22.0)	(22.0, 953.0)	(23.0, 14626.0)	(24.0, 89819.0)	(25.0, 295535.0)	(26.0, 678038.0)	(27.0, 1228485.0)	(28.0, 1914962.0)	(29.0, 2695778.0)	(30.0, 3639088.0)	(31.0, 4955398.0)	(32.0, 7000227.0)	(33.0, 10448020.0)	(34.0, 16830804.0)	(35.0, 30625466.0)	(36.0, 49485051.0)	(37.0, 19397638.0)	(38.0, 261507.0)			
562_R2	(19.0, 2.0)	(20.0, 153.0)	(21.0, 4944.0)	(22.0, 66711.0)	(23.0, 392911.0)	(24.0, 1100927.0)	(25.0, 1914558.0)	(26.0, 2696850.0)	(27.0, 3473650.0)	(28.0, 4248314.0)	(29.0, 5052894.0)	(30.0, 6020317.0)	(31.0, 7287023.0)	(32.0, 9052119.0)	(33.0, 11652487.0)	(34.0, 15866331.0)	(35.0, 23943375.0)	(36.0, 41925783.0)	(37.0, 14831213.0)	(38.0, 30855.0)	
563_R1	(21.0, 10.0)	(22.0, 727.0)	(23.0, 11868.0)	(24.0, 71504.0)	(25.0, 232153.0)	(26.0, 521964.0)	(27.0, 925387.0)	(28.0, 1414731.0)	(29.0, 1986003.0)	(30.0, 2696352.0)	(31.0, 3695930.0)	(32.0, 5243752.0)	(33.0, 7819262.0)	(34.0, 12414891.0)	(35.0, 21340416.0)	(36.0, 31928341.0)	(37.0, 14889536.0)	(38.0, 190259.0)			
563_R2	(19.0, 1.0)	(20.0, 125.0)	(21.0, 4205.0)	(22.0, 57491.0)	(23.0, 341400.0)	(24.0, 954317.0)	(25.0, 1645573.0)	(26.0, 2272907.0)	(27.0, 2848890.0)	(28.0, 3419389.0)	(29.0, 4026303.0)	(30.0, 4740240.0)	(31.0, 5664788.0)	(32.0, 6911948.0)	(33.0, 8696296.0)	(34.0, 11435833.0)	(35.0, 16192954.0)	(36.0, 25660224.0)	(37.0, 10490313.0)	(38.0, 19889.0)	
564_R1	(20.0, 1.0)	(21.0, 22.0)	(22.0, 1285.0)	(23.0, 20438.0)	(24.0, 121663.0)	(25.0, 392746.0)	(26.0, 866571.0)	(27.0, 1493938.0)	(28.0, 2242191.0)	(29.0, 3110615.0)	(30.0, 4203950.0)	(31.0, 5767482.0)	(32.0, 8211233.0)	(33.0, 12257774.0)	(34.0, 19192952.0)	(35.0, 31147465.0)	(36.0, 44443812.0)	(37.0, 17722941.0)	(38.0, 202763.0)		
564_R2	(19.0, 10.0)	(20.0, 250.0)	(21.0, 8265.0)	(22.0, 109689.0)	(23.0, 612115.0)	(24.0, 1633411.0)	(25.0, 2733906.0)	(26.0, 3681802.0)	(27.0, 4528398.0)	(28.0, 5344015.0)	(29.0, 6180340.0)	(30.0, 7154295.0)	(31.0, 8401242.0)	(32.0, 10065435.0)	(33.0, 12417620.0)	(34.0, 15996928.0)	(35.0, 22100804.0)	(36.0, 35816852.0)	(37.0, 14583221.0)	(38.0, 31244.0)	
