Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
553_R2	(1.0, 91.72043532529457)	(2.0, 6.3093077032387495)	(3.0, 0.9618035961674671)	(4.0, 0.24732274708152627)	(5.0, 0.13323637767113952)	(6.0, 0.08118209046404214)	(7.0, 0.06216857381083137)	(8.0, 0.044140359197604256)	(9.0, 0.041150108315141654)	('>10', 0.3420695198714752)	('>50', 0.04741373734734942)	('>100', 0.009769861540110912)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
554_R1	(1.0, 80.90911753881456)	(2.0, 9.785869999942525)	(3.0, 2.072347038261065)	(4.0, 0.9279963973625013)	(5.0, 0.6912123333563122)	(6.0, 0.48429936125314366)	(7.0, 0.379352398112304)	(8.0, 0.3103847627528751)	(9.0, 0.284440936845848)	('>10', 2.411161615072286)	('>50', 0.849911687137266)	('>100', 0.8649380246082923)	('>500', 0.028967906480934707)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
554_R2	(1.0, 81.33948821370937)	(2.0, 9.580855109883519)	(3.0, 2.125298797577942)	(4.0, 0.875983689266476)	(5.0, 0.6922025123035055)	(6.0, 0.45827662274146475)	(7.0, 0.38335058911853215)	(8.0, 0.27834106078230963)	(9.0, 0.23936766874654686)	('>10', 2.23822933706032)	('>50', 0.8590191203781381)	('>100', 0.8968907418384554)	('>500', 0.03133669495227336)	('>1k', 0.001359841641271336)	('>5k', 0.0)	('>10k+', 0.0)
555_R1	(1.0, 95.63587011719838)	(2.0, 2.585924272957756)	(3.0, 0.42735510116189673)	(4.0, 0.20927291942522463)	(5.0, 0.1502670300261566)	(6.0, 0.08318714138341313)	(7.0, 0.0792156210536549)	(8.0, 0.05818584331399809)	(9.0, 0.05520235376687667)	('>10', 0.6430771842837597)	('>50', 0.06289131443301824)	('>100', 0.00955110099586142)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
555_R2	(1.0, 95.65101204320895)	(2.0, 2.624942446087525)	(3.0, 0.408340002661729)	(4.0, 0.18323930279706746)	(5.0, 0.11420316407478148)	(6.0, 0.08018054129675872)	(7.0, 0.0872376440805649)	(8.0, 0.06119559441691825)	(9.0, 0.05118775855536273)	('>10', 0.6803662419234404)	('>50', 0.048524240961259846)	('>100', 0.009571019935666765)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
556_R1	(1.0, 88.46583853974262)	(2.0, 5.586575388661882)	(3.0, 1.3335379402265324)	(4.0, 0.6886076864795156)	(5.0, 0.4946733850519156)	(6.0, 0.3606635315787506)	(7.0, 0.24356456485039998)	(8.0, 0.202566334117115)	(9.0, 0.14848604821750272)	('>10', 1.8449432657963436)	('>50', 0.46775750470588584)	('>100', 0.16144552904981688)	('>500', 0.0013402815217298993)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
556_R2	(1.0, 88.52743945958721)	(2.0, 5.50262215282785)	(3.0, 1.3155405506622568)	(4.0, 0.7586753368098703)	(5.0, 0.473648473310801)	(6.0, 0.3907219550188534)	(7.0, 0.2886714740883512)	(8.0, 0.17248366419437555)	(9.0, 0.15049389725252868)	('>10', 1.8106707263470547)	('>50', 0.4407979960778164)	('>100', 0.16689735279758466)	('>500', 0.0013369610254414667)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
557_R1	(1.0, 96.06472294059935)	(2.0, 3.1601956035403465)	(3.0, 0.4083227997937534)	(4.0, 0.12114568279645956)	(5.0, 0.04807761204430111)	(6.0, 0.036073078508413965)	(7.0, 0.02205374848578748)	(8.0, 0.0160457020937277)	(9.0, 0.017055585956900793)	('>10', 0.10266534103345584)	('>50', 0.0010266001622062195)	('>100', 0.001046455546870104)	('>500', 0.0)	('>1k', 0.0015688494384063281)	('>5k', 0.0)	('>10k+', 0.0)
557_R2	(1.0, 96.26479952151314)	(2.0, 3.0071406492659998)	(3.0, 0.3813018564071101)	(4.0, 0.08610364754999779)	(5.0, 0.04507282114275151)	(6.0, 0.0380771933774039)	(7.0, 0.02105133817982209)	(8.0, 0.018051445067377124)	(9.0, 0.02106870269440745)	('>10', 0.114690230563668)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0026425942383352533)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
558_R1	(1.0, 97.61807551889929)	(2.0, 1.8396829083089927)	(3.0, 0.25219215282207563)	(4.0, 0.08009230213390003)	(5.0, 0.04306644119433413)	(6.0, 0.033063908240957264)	(7.0, 0.02706286098383031)	(8.0, 0.015040797865914095)	(9.0, 0.01805600939003905)	('>10', 0.0713959047480785)	('>50', 0.0010295927112614154)	('>100', 0.0)	('>500', 0.00124160270132073)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
558_R2	(1.0, 97.6882884300481)	(2.0, 1.7766635703877396)	(3.0, 0.2421851024929627)	(4.0, 0.09210637432441708)	(5.0, 0.038058812635387906)	(6.0, 0.032062056357777965)	(7.0, 0.022051280314641163)	(8.0, 0.01704628568868093)	(9.0, 0.013040489198154924)	('>10', 0.07641056717028036)	('>50', 0.001026017239891076)	('>100', 0.0010610141419291385)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
559_R1	(1.0, 75.40888692939089)	(2.0, 13.263174710959028)	(3.0, 3.16961266007178)	(4.0, 1.1311024514863872)	(5.0, 0.6586585238306475)	(6.0, 0.47188511105539094)	(7.0, 0.3530110863189363)	(8.0, 0.2790854496414882)	(9.0, 0.2411400659592539)	('>10', 2.1766864997135627)	('>50', 0.8758319468072986)	('>100', 1.8634496222792138)	('>500', 0.09920634411939916)	('>1k', 0.008268598366751851)	('>5k', 0.0)	('>10k+', 0.0)
559_R2	(1.0, 74.7762123867383)	(2.0, 13.673583544864245)	(3.0, 3.2662616479184154)	(4.0, 1.1729804755398694)	(5.0, 0.648614778502221)	(6.0, 0.4458578805842217)	(7.0, 0.3629841387902258)	(8.0, 0.2860661558611323)	(9.0, 0.2281154531742723)	('>10', 2.1824399776923937)	('>50', 0.8879668329476644)	('>100', 1.9589290241183124)	('>500', 0.0989529225074859)	('>1k', 0.011034780761401474)	('>5k', 0.0)	('>10k+', 0.0)
560_R1	(1.0, 91.45085836560692)	(2.0, 5.634106414322948)	(3.0, 1.0585098574717593)	(4.0, 0.4693599347621642)	(5.0, 0.2632769522730791)	(6.0, 0.17623561185603442)	(7.0, 0.1432322908149003)	(8.0, 0.09818719697000729)	(9.0, 0.05712517139220903)	('>10', 0.5632353541284807)	('>50', 0.07843480940726852)	('>100', 0.00625553874124237)	('>500', 0.0011825022529993417)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
560_R2	(1.0, 91.61694285521817)	(2.0, 5.514089227552075)	(3.0, 1.0565101949873839)	(4.0, 0.3953036595436752)	(5.0, 0.26027415227229556)	(6.0, 0.1932586508091489)	(7.0, 0.13622112808256262)	(8.0, 0.10920838383114671)	(9.0, 0.06915163916670673)	('>10', 0.5713352310960625)	('>50', 0.06722731833346365)	('>100', 0.009323428140515923)	('>500', 0.001154130966801342)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
561_R1	(1.0, 84.7235043197819)	(2.0, 8.561587811953359)	(3.0, 2.0863332870603974)	(4.0, 0.8183963490289168)	(5.0, 0.5494443416694538)	(6.0, 0.38844009560835585)	(7.0, 0.26238232056978616)	(8.0, 0.23842465884534517)	(9.0, 0.15332273715577252)	('>10', 1.3083980538465503)	('>50', 0.493135048616193)	('>100', 0.4166309758639609)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
561_R2	(1.0, 84.41626149433426)	(2.0, 8.815505585262379)	(3.0, 1.966305276322469)	(4.0, 0.885424904871757)	(5.0, 0.5434371309721432)	(6.0, 0.41847234444156384)	(7.0, 0.3084481591397464)	(8.0, 0.24443436488521203)	(9.0, 0.1783747569404084)	('>10', 1.3153201693513545)	('>50', 0.4871418979695685)	('>100', 0.41717699600309105)	('>500', 0.0036969195058511673)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
562_R1	(1.0, 92.14430701353724)	(2.0, 4.628661092698148)	(3.0, 0.8544079936930814)	(4.0, 0.41934052849184517)	(5.0, 0.27231219199423184)	(6.0, 0.15322688170109092)	(7.0, 0.11821453390184192)	(8.0, 0.09119595536158674)	(9.0, 0.06917172044184415)	('>10', 0.9591606661238459)	('>50', 0.22599343015449583)	('>100', 0.06280298141240022)	('>500', 0.001205010488428006)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
562_R2	(1.0, 92.36754502565134)	(2.0, 4.453602142855595)	(3.0, 0.8423959740057845)	(4.0, 0.40432538515117866)	(5.0, 0.25629199730232816)	(6.0, 0.16223909497954536)	(7.0, 0.12823184002661916)	(8.0, 0.09921252134780076)	(9.0, 0.07217871733085181)	('>10', 0.8876054499464403)	('>50', 0.25156220399775253)	('>100', 0.07362109447265748)	('>500', 0.0011885529321473754)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
563_R1	(1.0, 93.74823629123277)	(2.0, 4.22861338380165)	(3.0, 0.7346290333516217)	(4.0, 0.3244317146070748)	(5.0, 0.19334895592160642)	(6.0, 0.13029689679715686)	(7.0, 0.07921801880617528)	(8.0, 0.06420709071341979)	(9.0, 0.04215590414800162)	('>10', 0.4324630489797063)	('>50', 0.017538289743874575)	('>100', 0.0021155195360958575)	('>500', 0.002745852360852389)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
563_R2	(1.0, 93.99074551312167)	(2.0, 4.058528555957714)	(3.0, 0.7246169511922925)	(4.0, 0.31742086998002694)	(5.0, 0.17030656764187296)	(6.0, 0.12428261622396863)	(7.0, 0.06919010449613258)	(8.0, 0.057184181971692866)	(9.0, 0.05319649952418216)	('>10', 0.4044715997507985)	('>50', 0.01752896861528958)	('>100', 0.009752473332663618)	('>500', 0.0027750981916483492)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
564_R1	(1.0, 93.37578821092009)	(2.0, 4.790264944875414)	(3.0, 0.8024770809758495)	(4.0, 0.2572378960324553)	(5.0, 0.15419350712939067)	(6.0, 0.09314763628906275)	(7.0, 0.08416115459022186)	(8.0, 0.05612597759701754)	(9.0, 0.04210839216091029)	('>10', 0.3248961998843411)	('>50', 0.012265671749866891)	('>100', 0.0031871202712678553)	('>500', 0.0024262235808286525)	('>1k', 0.0017199839433589474)	('>5k', 0.0)	('>10k+', 0.0)
564_R2	(1.0, 93.63965781912148)	(2.0, 4.651173388211487)	(3.0, 0.7504373690644242)	(4.0, 0.23321297338523783)	(5.0, 0.14818426175879487)	(6.0, 0.10416390897289338)	(7.0, 0.06312015086946131)	(8.0, 0.055123108612713134)	(9.0, 0.05012847965382796)	('>10', 0.2886390458936485)	('>50', 0.006142888736285545)	('>100', 0.0031613238511311596)	('>500', 0.0)	('>1k', 0.0068552818686967235)	('>5k', 0.0)	('>10k+', 0.0)
