## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/dmpachon/jorge/TATIANA/snp_calling//results/alignment/557.sorted.bam --OUTPUT /home/dmpachon/jorge/TATIANA/snp_calling/results/markdup/557.markdup.bam --METRICS_FILE /home/dmpachon/jorge/TATIANA/snp_calling/results/metrics/557_duplicate_metrics.txt --TMP_DIR /home/dmpachon/jorge/TATIANA/snp_calling/tmp/557 --VALIDATION_STRINGENCY SILENT --COMPRESSION_LEVEL 9 --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jan 16 17:08:38 GMT-03:00 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	231194	7076980	246695	228309928	118553	88431	0	0.020536	280815296

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	6902934	6902934
2.0	1.975113	84325	84325
3.0	2.925959	956	956
4.0	3.853142	107	107
5.0	4.75725	67	67
6.0	5.638858	47	47
7.0	6.498526	27	27
8.0	7.3368	24	24
9.0	8.154211	15	15
10.0	8.95128	13	13
11.0	9.728513	3	3
12.0	10.486403	3	3
13.0	11.225432	4	4
14.0	11.946069	2	2
15.0	12.648771	2	2
16.0	13.333986	2	2
17.0	14.002148	2	2
18.0	14.653681	1	1
19.0	15.289	0	0
20.0	15.908508	2	2
21.0	16.512599	0	0
22.0	17.101656	0	0
23.0	17.676053	1	1
24.0	18.236156	0	0
25.0	18.782319	3	3
26.0	19.31489	0	0
27.0	19.834208	1	1
28.0	20.340601	0	0
29.0	20.834392	0	0
30.0	21.315894	1	1
31.0	21.785413	0	0
32.0	22.243247	0	0
33.0	22.689687	0	0
34.0	23.125017	0	0
35.0	23.549513	1	1
36.0	23.963445	0	0
37.0	24.367075	0	0
38.0	24.760661	0	0
39.0	25.144451	0	0
40.0	25.51869	1	1
41.0	25.883616	1	1
42.0	26.23946	0	0
43.0	26.586448	0	0
44.0	26.9248	0	0
45.0	27.254733	0	0
46.0	27.576454	0	0
47.0	27.890169	0	0
48.0	28.196076	0	0
49.0	28.49437	0	0
50.0	28.785241	0	0
51.0	29.068873	0	0
52.0	29.345447	0	0
53.0	29.615137	0	0
54.0	29.878116	0	0
55.0	30.13455	0	0
56.0	30.384602	0	0
57.0	30.628432	0	0
58.0	30.866193	1	1
59.0	31.098037	0	0
60.0	31.324112	1	1
61.0	31.54456	0	0
62.0	31.759522	0	0
63.0	31.969134	0	0
64.0	32.17353	0	0
65.0	32.372839	1	1
66.0	32.567187	0	0
67.0	32.7567	0	0
68.0	32.941495	0	0
69.0	33.121692	0	0
70.0	33.297405	0	0
71.0	33.468744	0	0
72.0	33.63582	0	0
73.0	33.798737	0	0
74.0	33.9576	0	0
75.0	34.11251	0	0
76.0	34.263564	0	0
77.0	34.410859	0	0
78.0	34.554488	0	0
79.0	34.694543	0	0
80.0	34.831113	1	1
81.0	34.964283	0	0
82.0	35.09414	0	0
83.0	35.220765	0	0
84.0	35.344238	0	0
85.0	35.464639	0	0
86.0	35.582043	0	0
87.0	35.696526	0	0
88.0	35.808159	0	0
89.0	35.917014	0	0
90.0	36.023161	0	0
91.0	36.126665	0	0
92.0	36.227594	0	0
93.0	36.326011	0	0
94.0	36.421978	0	0
95.0	36.515558	0	0
96.0	36.606808	0	0
97.0	36.695788	0	0
98.0	36.782553	0	0
99.0	36.867159	0	0
100.0	36.949659	0	0

