IID,FROH_maf005,FROH_maf010,delta_FROH
547,0.005961343007121493,0.0015876435282296865,0.004373699478891806
548,0.0013008943586507314,0.0013008943586507314,0
549,0.004029209056135147,0.002888247580969715,0.0011409614751654315
550,0.0014248925050534163,0.0014026337436960762,2.2258761357340064e-5
551,0.006124921500886772,0.0024540131344031367,0.0036709083664836356
552,0.0011466945231842723,0.001145805831620897,8.886915633752462e-7
554,0.0026194480061008003,0,0.0026194480061008003
555,0.00298823525620014,0,0.00298823525620014
556,0.0015655190580419233,0,0.0015655190580419233
559,0,0,0
560,0,0,0
561,0.001062819813432912,0.0036180015954106926,0.0025551817819777804
562,0,0,0
